compiler,base_flags,flags
gcc,-march=native -flto -ffast-math -ftree-vectorize,-O1
gcc,-march=native -flto -ffast-math -ftree-vectorize,-O2
gcc,-march=native -flto -ffast-math -ftree-vectorize,-O3
gcc,-march=native -flto -ffast-math -ftree-vectorize,-O3 -fdisable-tree-cunrolli
gcc,-march=native -flto -ffast-math -ftree-vectorize,-Ofast
gcc,-march=native -flto -ffast-math -ftree-vectorize,-Ofast -fdisable-tree-cunrolli
icx,-xHost -ipo -vec -ffast-math,-O1
icx,-xHost -ipo -vec -ffast-math,-O1 -fno-unroll-loops
icx,-xHost -ipo -vec -ffast-math,-O2
icx,-xHost -ipo -vec -ffast-math,-O2 -fno-unroll-loops
icx,-xHost -ipo -vec -ffast-math,-O3
icx,-xHost -ipo -vec -ffast-math,-O3 -fno-unroll-loops
icx,-xHost -ipo -vec -ffast-math,-Ofast
icx,-xHost -ipo -vec -ffast-math,-Ofast -fno-unroll-loops
