photons,blocks,threads,photones_per_thread,time,pus
4294967296, 32, 32, 4194304, 321.856500, 13.344355
4294967296, 32, 32, 4194304, 326.117563, 13.169997
4294967296, 32, 64, 2097152, 163.520031, 26.265695
4294967296, 32, 64, 2097152, 163.487437, 26.270932
4294967296, 32, 128, 1048576, 82.209633, 52.244088
4294967296, 32, 128, 1048576, 82.622750, 51.982865
4294967296, 32, 256, 524288, 43.249543, 99.306652
4294967296, 32, 256, 524288, 43.450191, 98.848064
4294967296, 32, 512, 262144, 24.506580, 175.257718
4294967296, 32, 512, 262144, 25.126525, 170.933594
4294967296, 32, 1024, 131072, 16.261348, 264.121239
4294967296, 32, 1024, 131072, 16.965355, 253.161055
4294967296, 64, 32, 2097152, 164.486828, 26.111314
4294967296, 64, 32, 2097152, 164.405703, 26.124199
4294967296, 64, 64, 1048576, 82.587203, 52.005240
4294967296, 64, 64, 1048576, 82.605539, 51.993696
4294967296, 64, 128, 524288, 41.835066, 102.664288
4294967296, 64, 128, 524288, 42.041344, 102.160562
4294967296, 64, 256, 262144, 22.973619, 186.952141
4294967296, 64, 256, 262144, 23.524393, 182.575056
4294967296, 64, 512, 131072, 14.013057, 306.497533
4294967296, 64, 512, 131072, 14.258273, 301.226324
4294967296, 64, 1024, 65536, 12.576768, 341.500093
4294967296, 64, 1024, 65536, 12.844039, 334.393821
4294967296, 128, 32, 1048576, 82.446320, 52.094105
4294967296, 128, 32, 1048576, 82.405664, 52.119807
4294967296, 128, 64, 524288, 41.707578, 102.978103
4294967296, 128, 64, 524288, 42.281836, 101.579489
4294967296, 128, 128, 262144, 22.924584, 187.352028
4294967296, 128, 128, 262144, 23.572684, 182.201033
4294967296, 128, 256, 131072, 13.943168, 308.033820
4294967296, 128, 256, 131072, 14.235851, 301.700785
4294967296, 128, 512, 65536, 12.321691, 348.569620
4294967296, 128, 512, 65536, 12.526188, 342.879052
4294967296, 128, 1024, 32768, 13.833524, 310.475275
4294967296, 128, 1024, 32768, 13.971757, 307.403525
4294967296, 256, 32, 524288, 41.886426, 102.538405
4294967296, 256, 32, 524288, 42.101902, 102.013616
4294967296, 256, 64, 262144, 22.750365, 188.786740
4294967296, 256, 64, 262144, 23.310805, 184.247921
4294967296, 256, 128, 131072, 13.851478, 310.072863
4294967296, 256, 128, 131072, 14.190312, 302.668993
4294967296, 256, 256, 65536, 12.009859, 357.620115
4294967296, 256, 256, 65536, 12.203885, 351.934436
4294967296, 256, 512, 32768, 13.046970, 329.192708
4294967296, 256, 512, 32768, 13.201823, 325.331374
4294967296, 256, 1024, 16384, 15.568617, 275.873396
4294967296, 256, 1024, 16384, 15.864824, 270.722653
4294967296, 512, 32, 262144, 22.666650, 189.483987
4294967296, 512, 32, 262144, 23.057934, 186.268526
4294967296, 512, 64, 131072, 13.644884, 314.767598
4294967296, 512, 64, 131072, 14.046210, 305.774106
4294967296, 512, 128, 65536, 11.553768, 371.737381
4294967296, 512, 128, 65536, 11.752646, 365.446851
4294967296, 512, 256, 32768, 12.428479, 345.574638
4294967296, 512, 256, 32768, 12.650878, 339.499545
4294967296, 512, 512, 16384, 13.780597, 311.667731
4294967296, 512, 512, 16384, 14.265640, 301.070783
4294967296, 512, 1024, 8192, 18.460559, 232.656410
4294967296, 512, 1024, 8192, 18.978973, 226.301359
4294967296, 1024, 32, 131072, 13.057912, 328.916848
4294967296, 1024, 32, 131072, 13.514665, 317.800499
4294967296, 1024, 64, 65536, 11.263437, 381.319439
4294967296, 1024, 64, 65536, 11.504490, 373.329649
4294967296, 1024, 128, 32768, 11.780061, 364.596368
4294967296, 1024, 128, 32768, 11.938887, 359.746046
4294967296, 1024, 256, 16384, 13.188383, 325.662923
4294967296, 1024, 256, 16384, 13.380492, 320.987243
4294967296, 1024, 512, 8192, 15.819848, 271.492330
4294967296, 1024, 512, 8192, 16.519590, 259.992369
4294967296, 1024, 1024, 4096, 22.789846, 188.459692
4294967296, 1024, 1024, 4096, 22.785020, 188.499610
4294967296, 2048, 32, 65536, 13.433765, 319.714347
4294967296, 2048, 32, 65536, 13.893542, 309.134078
4294967296, 2048, 64, 32768, 11.358982, 378.111977
4294967296, 2048, 64, 32768, 11.164383, 384.702618
4294967296, 2048, 128, 16384, 11.634647, 369.153196
4294967296, 2048, 128, 16384, 11.985345, 358.351586
4294967296, 2048, 256, 8192, 13.960061, 307.661079
4294967296, 2048, 256, 8192, 14.227638, 301.874941
4294967296, 2048, 512, 4096, 18.525074, 231.846159
4294967296, 2048, 512, 4096, 18.838160, 227.992928
4294967296, 2048, 1024, 2048, 27.901766, 153.931739
4294967296, 2048, 1024, 2048, 28.513533, 150.629081
4294967296, 4096, 32, 32768, 13.358061, 321.526264
4294967296, 4096, 32, 32768, 13.702979, 313.433097
4294967296, 4096, 64, 16384, 11.165694, 384.657431
4294967296, 4096, 64, 16384, 11.338248, 378.803434
4294967296, 4096, 128, 8192, 12.385291, 346.779683
4294967296, 4096, 128, 8192, 12.540247, 342.494631
4294967296, 4096, 256, 4096, 15.400620, 278.882750
4294967296, 4096, 256, 4096, 15.622235, 274.926552
4294967296, 4096, 512, 2048, 21.588416, 198.947773
4294967296, 4096, 512, 2048, 22.079379, 194.523918
4294967296, 4096, 1024, 1024, 35.097934, 122.370945
4294967296, 4096, 1024, 1024, 35.691238, 120.336741
