photons,time,pus,ins,ius
64, 0.000514, 0.124506, 1429362, 2780.692636
64, 0.000203, 0.315582, 1357753, 6695.045029
64, 0.000205, 0.311542, 1357753, 6609.330387
64, 0.000229, 0.279768, 1357753, 5935.252953
64, 0.000291, 0.219720, 1357753, 4661.333014
64, 0.000203, 0.315100, 1364588, 6718.474044
64, 0.000215, 0.297355, 1357753, 6308.353145
64, 0.000214, 0.298800, 1357753, 6339.005512
64, 0.000203, 0.315083, 1357753, 6684.454493
64, 0.000198, 0.323821, 1357753, 6869.823611
64, 0.000206, 0.311012, 1357753, 6598.083238
64, 0.000194, 0.330629, 1357753, 7014.263946
64, 0.000204, 0.314203, 1357753, 6665.780485
64, 0.000256, 0.250039, 1357753, 5304.550668
64, 0.000197, 0.325434, 1357753, 6904.048696
64, 0.000206, 0.310574, 1357753, 6588.794405
64, 0.000195, 0.328153, 1357753, 6961.727222
64, 0.000205, 0.312806, 1357753, 6636.136252
64, 0.000217, 0.294468, 1357753, 6247.099256
64, 0.000205, 0.311481, 1357753, 6608.042202
64, 0.000206, 0.310559, 1357753, 6588.466866
64, 0.000195, 0.328475, 1364627, 7003.845866
64, 0.000204, 0.313971, 1357753, 6660.861978
64, 0.000230, 0.278007, 1357753, 5897.891397
64, 0.000196, 0.327099, 1364588, 6974.292716
64, 0.000204, 0.314203, 1370881, 6730.231358
64, 0.000196, 0.325998, 1364627, 6951.033858
64, 0.000205, 0.311481, 1357753, 6608.042202
64, 0.000196, 0.326481, 1364627, 6961.320775
64, 0.000204, 0.313357, 1357753, 6647.831897
64, 0.000196, 0.326481, 1357753, 6926.254696
64, 0.000205, 0.311754, 1357753, 6613.827988
64, 0.000282, 0.226789, 1357753, 4811.313761
64, 0.000196, 0.326465, 1357753, 6925.909199
64, 0.000204, 0.313079, 1357753, 6641.941100
64, 0.000217, 0.294578, 1387023, 6384.165903
64, 0.000196, 0.326564, 1357753, 6928.015619
64, 0.000204, 0.313112, 1357753, 6642.637154
64, 0.000196, 0.326648, 1357753, 6929.793908
64, 0.000205, 0.311527, 1357753, 6609.000804
64, 0.000256, 0.249912, 1378524, 5382.967781
64, 0.000196, 0.326881, 1357753, 6934.738392
64, 0.000204, 0.314110, 1357753, 6663.815257
64, 0.000193, 0.330921, 1364627, 7055.988154
64, 0.000206, 0.310604, 1357753, 6589.434688
64, 0.000370, 0.173155, 1357753, 3673.472111
64, 0.000206, 0.309972, 1357753, 6576.029657
64, 0.000205, 0.312819, 1357753, 6636.423232
64, 0.000358, 0.178811, 1364627, 3812.660976
64, 0.000207, 0.309209, 1357753, 6559.829478
64, 0.000206, 0.311012, 1364627, 6631.487859
64, 0.000194, 0.329914, 1357753, 6999.093510
64, 0.000213, 0.300286, 1357753, 6370.541751
64, 0.000206, 0.310123, 1366777, 6622.947222
64, 0.000198, 0.322434, 1357753, 6840.410566
64, 0.000246, 0.260396, 1364627, 5552.235222
64, 0.000196, 0.327349, 1357753, 6944.681641
64, 0.000204, 0.314357, 1364627, 6702.822395
64, 0.000305, 0.209596, 1364627, 4469.059357
64, 0.000197, 0.325104, 1357753, 6897.042643
64, 0.000204, 0.314465, 1364627, 6705.122840
64, 0.000196, 0.327232, 1357753, 6942.184892
64, 0.000196, 0.326998, 1357753, 6937.229787
64, 0.000202, 0.317193, 1363729, 6758.825861
64, 0.000197, 0.324774, 1364627, 6924.933582
64, 0.000204, 0.314327, 1357753, 6668.402593
64, 0.000195, 0.328761, 1357753, 6974.633156
64, 0.000203, 0.314589, 1357753, 6673.973791
64, 0.000196, 0.326614, 1357753, 6929.085776
64, 0.000196, 0.326831, 1357753, 6933.682977
64, 0.000214, 0.299583, 1364411, 6386.793975
64, 0.000209, 0.306103, 1357753, 6493.938399
64, 0.000204, 0.313987, 1357753, 6661.196754
64, 0.000206, 0.311330, 1364588, 6638.072968
64, 0.000195, 0.328844, 1357753, 6976.385384
64, 0.000237, 0.269599, 1357753, 5719.505377
64, 0.000204, 0.314218, 1357753, 6666.100516
64, 0.000205, 0.311647, 1364627, 6645.021231
64, 0.000207, 0.309506, 1364627, 6599.380191
64, 0.000238, 0.268795, 1357753, 5702.446952
64, 0.000196, 0.326914, 1357753, 6935.447680
64, 0.000206, 0.310891, 1364627, 6628.907752
64, 0.000204, 0.313803, 1357753, 6657.288056
64, 0.000206, 0.310468, 1357753, 6586.546955
64, 0.000207, 0.309702, 1357753, 6570.294980
64, 0.000204, 0.313066, 1357753, 6641.653642
64, 0.000196, 0.327132, 1357753, 6940.069848
64, 0.000204, 0.313311, 1357753, 6646.861999
64, 0.000208, 0.307323, 1364588, 6552.635687
64, 0.000204, 0.313526, 1357753, 6651.410843
64, 0.000204, 0.313004, 1357753, 6640.352828
64, 0.000204, 0.313234, 1357753, 6645.225938
64, 0.000206, 0.311254, 1357753, 6603.223456
64, 0.000203, 0.314620, 1364627, 6708.422900
64, 0.000203, 0.314542, 1357753, 6672.980978
64, 0.000242, 0.264703, 1357753, 5615.650362
64, 0.000193, 0.330972, 1357753, 7021.527205
64, 0.000206, 0.310679, 1357753, 6591.028490
64, 0.000204, 0.313633, 1357753, 6653.687600
64, 0.000194, 0.329880, 1364627, 7033.802335
64, 0.000203, 0.314929, 1357753, 6681.192006
64, 0.000194, 0.329693, 1357753, 6994.409192
64, 0.000200, 0.319328, 1357753, 6774.501838
64, 0.000232, 0.276291, 1364627, 5891.155707
64, 0.000210, 0.304327, 1357753, 6456.264538
64, 0.000196, 0.326931, 1357753, 6935.810628
64, 0.000205, 0.311572, 1357753, 6609.959683
64, 0.000204, 0.314388, 1357753, 6669.714421
64, 0.000195, 0.327382, 1357753, 6945.376420
