photons,time,pus,ins,ius
64, 0.000421, 0.151979, 2023059, 4804.109710
64, 0.000350, 0.183066, 2029851, 5806.204412
64, 0.000500, 0.127990, 2029851, 4059.376204
64, 0.000372, 0.171914, 2023972, 5436.694257
64, 0.000351, 0.182393, 2023635, 5767.153361
64, 0.000351, 0.182388, 2024066, 5768.213259
64, 0.000416, 0.153676, 2023267, 4858.250710
64, 0.000355, 0.180500, 2032552, 5732.444199
64, 0.000347, 0.184592, 2023408, 5836.024779
64, 0.000344, 0.185841, 2023059, 5874.491579
64, 0.000346, 0.184789, 2023814, 5843.411564
64, 0.000343, 0.186420, 2023059, 5892.802229
64, 0.000347, 0.184242, 2023173, 5824.262518
64, 0.000348, 0.184088, 2023651, 5820.769536
64, 0.000347, 0.184528, 2023588, 5834.522189
64, 0.000345, 0.185518, 2023800, 5866.426318
64, 0.000347, 0.184396, 2023173, 5829.130734
64, 0.000327, 0.195856, 2029851, 6211.848961
64, 0.000344, 0.186160, 2023972, 5887.236702
64, 0.000326, 0.196289, 2023651, 6206.566863
64, 0.000326, 0.196355, 2023345, 6207.729555
64, 0.000346, 0.184730, 2024262, 5842.851116
64, 0.000346, 0.184811, 2023408, 5842.938487
64, 0.000347, 0.184199, 2023494, 5823.843790
64, 0.000347, 0.184358, 2029851, 5847.186690
64, 0.000349, 0.183618, 2023345, 5805.038446
64, 0.000346, 0.184726, 2024364, 5842.996313
64, 0.000346, 0.184886, 2029851, 5863.909276
64, 0.000347, 0.184480, 2023541, 5832.859569
64, 0.000344, 0.185885, 2023541, 5877.266038
64, 0.000346, 0.185180, 2023219, 5854.050864
64, 0.000348, 0.183972, 2029851, 5834.921989
64, 0.000349, 0.183197, 2023352, 5791.749587
64, 0.000347, 0.184454, 2029851, 5850.223631
64, 0.000347, 0.184236, 2023408, 5824.767247
64, 0.000345, 0.185464, 2023345, 5863.405773
64, 0.000346, 0.184779, 2029851, 5860.519291
64, 0.000419, 0.152916, 2023408, 4834.544697
64, 0.000343, 0.186709, 2029851, 5921.734718
64, 0.000345, 0.185572, 2023059, 5865.980743
64, 0.000415, 0.154403, 2032727, 4904.045685
64, 0.000347, 0.184454, 2023267, 5831.232265
64, 0.000347, 0.184529, 2023494, 5834.258996
64, 0.000347, 0.184183, 2023814, 5824.265213
64, 0.000353, 0.181447, 2036410, 5773.442033
64, 0.000347, 0.184279, 2023502, 5826.381205
64, 0.000346, 0.184795, 2023305, 5842.130431
64, 0.000347, 0.184523, 2024364, 5836.595032
64, 0.000384, 0.166501, 2024175, 5266.063579
64, 0.000348, 0.183992, 2023541, 5817.429859
64, 0.000414, 0.154556, 2023541, 4886.715136
64, 0.000445, 0.143801, 2023059, 4545.587456
64, 0.000347, 0.184470, 2029851, 5850.726168
64, 0.000343, 0.186736, 2023298, 5903.475606
64, 0.000346, 0.184912, 2029872, 5864.806224
64, 0.000409, 0.156376, 2029341, 4958.438566
64, 0.000342, 0.187381, 2023059, 5923.171162
64, 0.000347, 0.184268, 2024388, 5828.596268
64, 0.000347, 0.184598, 2023800, 5837.327888
64, 0.000345, 0.185346, 2023059, 5858.845302
64, 0.000347, 0.184624, 2023972, 5838.663094
64, 0.000347, 0.184210, 2023345, 5823.742766
64, 0.000348, 0.183755, 2023408, 5809.550133
64, 0.000353, 0.181206, 2030466, 5748.932104
64, 0.000350, 0.183087, 2023212, 5787.884869
64, 0.000353, 0.181314, 2023298, 5732.053025
64, 0.000348, 0.183845, 2023800, 5813.512641
64, 0.000347, 0.184401, 2024175, 5832.182000
64, 0.000355, 0.180135, 2034103, 5725.194181
64, 0.000347, 0.184231, 2029851, 5843.150169
64, 0.000348, 0.184141, 2023212, 5821.183159
64, 0.000345, 0.185701, 2029851, 5889.762103
64, 0.000343, 0.186736, 2024168, 5906.014047
64, 0.000348, 0.184157, 2023212, 5821.690153
64, 0.000367, 0.174154, 2023345, 5505.848865
