photons,time,pus,ins,ius
64, 0.000290, 0.220956, 739984, 2554.750803
64, 0.000092, 0.691966, 652580, 7055.673262
64, 0.000080, 0.797210, 652580, 8128.798602
64, 0.000110, 0.583781, 652580, 5952.558432
64, 0.000084, 0.759466, 659454, 7825.508828
64, 0.000088, 0.729677, 652580, 7440.192396
64, 0.000079, 0.808493, 652580, 8243.849071
64, 0.000086, 0.747577, 652580, 7622.710742
64, 0.000088, 0.726199, 652580, 7404.732582
64, 0.000077, 0.827517, 652580, 8437.826662
64, 0.000079, 0.811361, 652580, 8273.097938
64, 0.000079, 0.808284, 652580, 8241.715846
64, 0.000076, 0.844318, 652580, 8609.142830
64, 0.000160, 0.401153, 652580, 4090.379379
64, 0.000088, 0.725050, 659454, 7470.888496
64, 0.000079, 0.807980, 659454, 8325.397007
64, 0.000083, 0.769604, 652580, 7847.314871
64, 0.000074, 0.865452, 652580, 8824.634327
64, 0.000079, 0.808388, 652580, 8242.782321
64, 0.000083, 0.769600, 652580, 7847.270930
64, 0.000074, 0.865915, 659454, 8922.364915
64, 0.000091, 0.705702, 672492, 7415.293951
64, 0.000079, 0.809822, 652580, 8257.401402
64, 0.000073, 0.879485, 652580, 8967.728569
64, 0.000079, 0.809202, 652580, 8251.081156
64, 0.000073, 0.872650, 658433, 8977.841347
64, 0.000083, 0.768954, 652580, 7840.685255
64, 0.000083, 0.768494, 659415, 7918.066952
64, 0.000159, 0.401732, 652580, 4096.285701
64, 0.000083, 0.770065, 652580, 7852.019470
64, 0.000119, 0.536642, 652580, 5471.907973
64, 0.000079, 0.808588, 652580, 8244.819084
64, 0.000078, 0.825697, 652580, 8419.273298
64, 0.000079, 0.808289, 652580, 8241.764316
64, 0.000080, 0.802605, 652580, 8183.816253
64, 0.000113, 0.565772, 652580, 5768.926281
64, 0.000079, 0.812801, 652580, 8287.775833
64, 0.000158, 0.405422, 652580, 4133.913307
64, 0.000083, 0.769785, 659415, 7931.371497
64, 0.000079, 0.809822, 659454, 8344.381355
64, 0.000112, 0.571175, 652580, 5824.020276
64, 0.000083, 0.768954, 652580, 7840.685255
64, 0.000079, 0.807059, 659415, 8315.420971
64, 0.000120, 0.534805, 652580, 5453.170677
64, 0.000092, 0.695802, 652580, 7094.786909
64, 0.000078, 0.821984, 652580, 8381.407616
64, 0.000075, 0.848808, 652580, 8654.921437
64, 0.000083, 0.769324, 652580, 7844.459689
64, 0.000116, 0.551059, 659454, 5678.089731
64, 0.000092, 0.695274, 659415, 7163.656335
64, 0.000083, 0.770618, 652580, 7857.654817
64, 0.000074, 0.864516, 652580, 8815.086861
64, 0.000084, 0.765549, 659454, 7888.189615
64, 0.000079, 0.808070, 652580, 8239.535280
64, 0.000083, 0.768679, 659454, 7920.439609
64, 0.000081, 0.792078, 652580, 8076.470196
64, 0.000079, 0.809717, 652580, 8256.331142
64, 0.000075, 0.854130, 652580, 8709.192529
64, 0.000083, 0.771362, 652580, 7865.240065
64, 0.000079, 0.808388, 652580, 8242.782321
64, 0.000090, 0.709220, 652580, 7231.601789
64, 0.000083, 0.769600, 652580, 7847.270930
64, 0.000074, 0.868262, 652580, 8853.289358
64, 0.000077, 0.829229, 652580, 8455.288483
64, 0.000085, 0.753119, 659415, 7759.656150
64, 0.000073, 0.875513, 659454, 9021.261692
64, 0.000079, 0.807875, 652580, 8237.549546
64, 0.000083, 0.769414, 652580, 7845.381905
64, 0.000078, 0.823891, 652580, 8400.851706
64, 0.000083, 0.770618, 652580, 7857.654817
64, 0.000073, 0.878036, 659454, 9047.254083
64, 0.000079, 0.809002, 652580, 8249.041298
64, 0.000083, 0.769414, 652580, 7845.381905
64, 0.000073, 0.872767, 659454, 8992.961941
64, 0.000083, 0.769036, 652580, 7841.518829
64, 0.000079, 0.808374, 652580, 8242.636876
64, 0.000083, 0.768399, 652580, 7835.030409
64, 0.000075, 0.850836, 652580, 8675.603149
64, 0.000079, 0.807980, 652580, 8238.614943
64, 0.000078, 0.825806, 652580, 8420.386223
64, 0.000074, 0.866860, 652580, 8838.994368
64, 0.000099, 0.649286, 652580, 6620.487247
64, 0.000079, 0.809612, 652580, 8255.261159
64, 0.000083, 0.769414, 652580, 7845.381905
64, 0.000081, 0.788370, 659377, 8122.394070
64, 0.000073, 0.875274, 652580, 8924.781428
64, 0.000073, 0.879362, 652580, 8966.466269
64, 0.000079, 0.808593, 652580, 8244.867591
64, 0.000072, 0.884347, 652580, 9017.295072
64, 0.000082, 0.782107, 659415, 8058.333740
64, 0.000081, 0.787787, 662890, 8159.630380
64, 0.000079, 0.808493, 652580, 8243.849071
64, 0.000075, 0.851179, 652580, 8679.095548
64, 0.000116, 0.553874, 652580, 5647.615183
64, 0.000083, 0.769414, 652580, 7845.381905
64, 0.000072, 0.890500, 652580, 9080.043793
64, 0.000072, 0.891610, 652580, 9091.353572
64, 0.000076, 0.846111, 659454, 8718.305558
64, 0.000079, 0.808997, 659454, 8335.884121
64, 0.000083, 0.769036, 652580, 7841.518829
64, 0.000079, 0.810424, 652580, 8263.536426
64, 0.000083, 0.769414, 659415, 7927.552958
64, 0.000072, 0.883125, 665213, 9179.158249
64, 0.000079, 0.808593, 659415, 8331.222781
64, 0.000075, 0.858253, 652580, 8751.232556
64, 0.000079, 0.810228, 659454, 8348.562646
64, 0.000087, 0.739456, 652580, 7539.907347
64, 0.000077, 0.832030, 652580, 8483.850707
64, 0.000076, 0.842992, 652580, 8595.624791
64, 0.000108, 0.592869, 652580, 6045.228535
64, 0.000079, 0.811774, 652580, 8277.300283
64, 0.000073, 0.880934, 652580, 8982.500907
64, 0.000083, 0.770061, 652580, 7851.975476
64, 0.000073, 0.881663, 652590, 8990.071936
64, 0.000072, 0.890374, 652590, 9078.888799
64, 0.000072, 0.893854, 652590, 9114.375350
64, 0.000079, 0.808793, 652580, 8246.905385
64, 0.000085, 0.753383, 652580, 7681.919426
64, 0.000159, 0.401581, 652580, 4094.741717
64, 0.000083, 0.769044, 652580, 7841.606584
64, 0.000072, 0.887407, 652580, 9048.502224
64, 0.000088, 0.725459, 652580, 7397.189136
64, 0.000080, 0.801604, 652580, 8173.601697
64, 0.000078, 0.817476, 652580, 8335.444125
64, 0.000093, 0.688313, 652580, 7018.429343
64, 0.000073, 0.877430, 659454, 9041.016111
64, 0.000090, 0.712854, 652580, 7268.659805
64, 0.000079, 0.808079, 659454, 8326.424948
64, 0.000083, 0.769600, 652580, 7847.270930
64, 0.000084, 0.763906, 652580, 7789.217629
64, 0.000079, 0.808284, 652580, 8241.715846
64, 0.000077, 0.828694, 659415, 8538.335422
64, 0.000116, 0.550443, 652580, 5612.624071
64, 0.000079, 0.809717, 652580, 8256.331142
64, 0.000073, 0.871582, 659454, 8980.757577
64, 0.000077, 0.830954, 659415, 8561.617239
64, 0.000151, 0.423281, 658588, 4355.747818
64, 0.000079, 0.808379, 652580, 8242.685357
64, 0.000090, 0.711584, 660525, 7344.050514
64, 0.000081, 0.790415, 659415, 8143.930538
64, 0.000077, 0.833443, 652580, 8498.255838
64, 0.000115, 0.556570, 652580, 5675.105508
64, 0.000083, 0.769694, 652580, 7848.237759
64, 0.000079, 0.808284, 652580, 8241.715846
64, 0.000073, 0.873843, 652580, 8910.198174
64, 0.000076, 0.838457, 652580, 8549.374258
64, 0.000088, 0.729847, 652580, 7441.930833
64, 0.000072, 0.884836, 652580, 9022.287683
64, 0.000079, 0.807367, 659454, 8319.088072
64, 0.000083, 0.769509, 652580, 7846.348269
64, 0.000083, 0.768859, 659454, 7922.300562
64, 0.000082, 0.781343, 652580, 7967.009164
64, 0.000079, 0.809717, 652580, 8256.331142
64, 0.000118, 0.544033, 652580, 5547.262316
64, 0.000073, 0.870870, 659454, 8973.416731
64, 0.000092, 0.695953, 652580, 7096.331730
64, 0.000073, 0.874678, 652580, 8918.704005
64, 0.000083, 0.768305, 659454, 7916.587556
64, 0.000073, 0.881669, 652580, 8989.991847
64, 0.000080, 0.804527, 652580, 8203.409660
64, 0.000073, 0.881788, 652580, 8991.203094
64, 0.000074, 0.867796, 659461, 8941.839497
64, 0.000076, 0.845554, 652580, 8621.748577
64, 0.000116, 0.550112, 652580, 5609.254313
64, 0.000083, 0.770622, 652580, 7857.698875
64, 0.000079, 0.809102, 652580, 8250.061101
64, 0.000079, 0.809612, 652580, 8255.261159
64, 0.000085, 0.757310, 652580, 7721.962272
64, 0.000073, 0.880206, 652580, 8975.079920
64, 0.000072, 0.887533, 652580, 9049.787731
64, 0.000079, 0.810433, 652580, 8263.633881
64, 0.000072, 0.885201, 659415, 9120.543399
64, 0.000076, 0.842770, 652580, 8593.358346
64, 0.000075, 0.848918, 652580, 8656.044071
64, 0.000084, 0.762906, 652580, 7779.013716
64, 0.000078, 0.823787, 659415, 8487.772149
64, 0.000093, 0.688986, 652580, 7025.290149
64, 0.000083, 0.770808, 652580, 7859.593836
64, 0.000086, 0.744011, 659429, 7665.977332
64, 0.000076, 0.846002, 652580, 8626.312680
64, 0.000079, 0.809202, 652580, 8251.081156
64, 0.000076, 0.847118, 652580, 8637.690865
64, 0.000079, 0.809093, 659454, 8336.865576
64, 0.000092, 0.694368, 652580, 7080.162473
64, 0.000082, 0.783351, 652580, 7987.488624
64, 0.000075, 0.851068, 652580, 8677.966927
64, 0.000072, 0.884956, 652580, 9023.507649
64, 0.000072, 0.894232, 652580, 9118.090237
64, 0.000096, 0.668689, 659454, 6890.148547
64, 0.000072, 0.892362, 659415, 9194.328741
64, 0.000072, 0.894482, 659454, 9216.714925
64, 0.000071, 0.895730, 652580, 9133.362524
64, 0.000083, 0.770899, 652580, 7860.519615
64, 0.000072, 0.893982, 652580, 9115.539938
64, 0.000083, 0.770251, 652580, 7853.911693
64, 0.000072, 0.892484, 652580, 9100.268052
64, 0.000075, 0.851173, 652580, 8679.041797
64, 0.000106, 0.600939, 658839, 6186.281920
64, 0.000079, 0.809512, 652580, 8254.240070
64, 0.000083, 0.774911, 659454, 7984.656613
64, 0.000072, 0.888641, 652580, 9061.080802
64, 0.000074, 0.868976, 652580, 8860.566249
64, 0.000079, 0.810433, 652580, 8263.633881
64, 0.000076, 0.844329, 652580, 8609.248607
64, 0.000072, 0.885566, 652580, 9029.728793
64, 0.000085, 0.750372, 652580, 7651.218758
64, 0.000079, 0.809002, 652580, 8249.041298
64, 0.000084, 0.766287, 652580, 7813.494199
64, 0.000079, 0.808593, 659454, 8331.715517
64, 0.000083, 0.769694, 652580, 7848.237759
64, 0.000083, 0.770713, 652580, 7858.624207
64, 0.000073, 0.878154, 652580, 8954.148829
64, 0.000073, 0.880573, 652580, 8978.817644
64, 0.000090, 0.707886, 659415, 7293.606775
64, 0.000079, 0.809307, 652580, 8252.150056
64, 0.000073, 0.878159, 652580, 8954.206041
64, 0.000076, 0.843883, 652580, 8604.702539
64, 0.000156, 0.409731, 652580, 4177.848237
64, 0.000081, 0.786336, 652580, 8017.924289
64, 0.000079, 0.809307, 652580, 8252.150056
64, 0.000083, 0.769785, 652580, 7849.160864
64, 0.000079, 0.808184, 652580, 8240.698105
64, 0.000079, 0.808388, 659454, 8329.608282
64, 0.000114, 0.563083, 652580, 5741.509564
64, 0.000073, 0.874433, 652580, 8916.207279
64, 0.000083, 0.775007, 652580, 7902.406572
64, 0.000121, 0.530548, 652580, 5409.764406
64, 0.000079, 0.809202, 652580, 8251.081156
64, 0.000077, 0.827193, 659454, 8523.371401
64, 0.000159, 0.402390, 652580, 4102.989776
64, 0.000080, 0.798103, 652580, 8137.908906
64, 0.000079, 0.808698, 652580, 8245.934881
64, 0.000080, 0.803201, 652580, 8189.890243
64, 0.000083, 0.771734, 652580, 7869.038183
64, 0.000079, 0.808897, 652580, 8247.973203
64, 0.000077, 0.829234, 652580, 8455.339498
64, 0.000079, 0.808179, 652580, 8240.649647
64, 0.000077, 0.827726, 652580, 8439.960968
64, 0.000085, 0.752933, 652580, 7677.332276
64, 0.000080, 0.799203, 659415, 8234.476535
64, 0.000073, 0.876110, 652580, 8933.315138
64, 0.000083, 0.769970, 652580, 7851.051709
64, 0.000084, 0.761996, 659454, 7851.584168
64, 0.000077, 0.826770, 652580, 8430.212944
64, 0.000073, 0.874082, 652580, 8912.634853
64, 0.000079, 0.809922, 652580, 8258.423274
64, 0.000087, 0.737666, 652580, 7521.656106
64, 0.000088, 0.729347, 652580, 7436.836352
64, 0.000089, 0.718857, 652580, 7329.868451
64, 0.000073, 0.876837, 652580, 8940.724232
64, 0.000082, 0.776412, 652580, 7916.736597
64, 0.000159, 0.401682, 667977, 4192.406702
64, 0.000079, 0.808797, 652580, 8246.953916
64, 0.000073, 0.874672, 652580, 8918.647246
64, 0.000073, 0.880940, 652580, 8982.558482
64, 0.000072, 0.886303, 652580, 9037.240466
64, 0.000080, 0.804325, 652580, 8201.345305
64, 0.000082, 0.780774, 652580, 7961.215930
64, 0.000079, 0.810023, 652580, 8259.445398
64, 0.000083, 0.770156, 652580, 7852.943465
64, 0.000072, 0.884711, 652580, 9021.009978
64, 0.000077, 0.832252, 652580, 8486.111135
64, 0.000072, 0.890005, 652580, 9074.987075
64, 0.000083, 0.769234, 652580, 7843.537690
64, 0.000079, 0.808593, 652580, 8244.867591
64, 0.000104, 0.615504, 652580, 6276.024448
64, 0.000079, 0.807676, 659415, 8321.773620
64, 0.000118, 0.541730, 652580, 5523.779203
64, 0.000083, 0.768863, 659454, 7922.344881
64, 0.000072, 0.884466, 659415, 9112.971902
64, 0.000082, 0.781058, 652580, 7964.111494
64, 0.000082, 0.780868, 652580, 7962.165805
64, 0.000083, 0.769694, 652580, 7848.237759
64, 0.000078, 0.816849, 657787, 8395.511731
64, 0.000093, 0.688986, 652580, 7025.290149
64, 0.000087, 0.735715, 652580, 7501.765853
64, 0.000072, 0.885937, 652580, 9033.512183
64, 0.000081, 0.790415, 659454, 8144.412197
64, 0.000079, 0.810333, 652580, 8262.610720
64, 0.000083, 0.770342, 652580, 7854.836133
64, 0.000073, 0.877554, 652580, 8948.031357
64, 0.000126, 0.508500, 659454, 5239.569938
64, 0.000079, 0.810744, 652580, 8266.802415
64, 0.000077, 0.834856, 652580, 8512.658262
64, 0.000087, 0.734787, 652580, 7492.300712
64, 0.000110, 0.580919, 673297, 6111.418104
64, 0.000079, 0.806046, 652580, 8218.901408
64, 0.000077, 0.832903, 652580, 8492.745249
64, 0.000092, 0.694898, 652580, 7085.567915
64, 0.000073, 0.878036, 652580, 8952.947544
64, 0.000074, 0.864162, 652580, 8811.484184
64, 0.000076, 0.840667, 652580, 8571.912795
64, 0.000073, 0.873244, 652580, 8904.084015
64, 0.000072, 0.887161, 652580, 9045.990699
64, 0.000083, 0.769414, 652580, 7845.381905
64, 0.000084, 0.763079, 652580, 7780.784511
64, 0.000079, 0.808693, 652580, 8245.886362
64, 0.000082, 0.775943, 652580, 7911.954151
64, 0.000073, 0.880934, 652580, 8982.500907
64, 0.000076, 0.839896, 652580, 8564.055287
64, 0.000079, 0.809102, 652580, 8250.061101
64, 0.000111, 0.577462, 652580, 5888.132094
64, 0.000089, 0.723085, 652580, 7372.982375
64, 0.000083, 0.770156, 659415, 7935.193716
