photons,time,pus,ins,ius
64, 0.000512, 0.124956, 2148545, 4194.885802
64, 0.000438, 0.146047, 2148068, 4901.869863
64, 0.000442, 0.144881, 2147111, 4860.565354
64, 0.000558, 0.114684, 2157338, 3865.816093
64, 0.000449, 0.142530, 2159511, 4809.312135
64, 0.000455, 0.140534, 2155692, 4733.560823
64, 0.000461, 0.138963, 2155860, 4681.024768
64, 0.000991, 0.064601, 2156162, 2176.402544
64, 0.000440, 0.145554, 2147756, 4884.594041
64, 0.000751, 0.085226, 2157307, 2872.801095
64, 0.000491, 0.130383, 2159878, 4400.173572
64, 0.000724, 0.088338, 2156993, 2977.244777
64, 0.000557, 0.114811, 2157443, 3870.297218
64, 0.000514, 0.124500, 2147245, 4177.064367
64, 0.000828, 0.077257, 2165435, 2613.996861
64, 0.000694, 0.092187, 2157328, 3107.476110
64, 0.000690, 0.092792, 2157725, 3128.420787
64, 0.000439, 0.145737, 2148919, 4893.404471
64, 0.000456, 0.140296, 2155217, 4724.498497
64, 0.000546, 0.117123, 2153583, 3941.172918
64, 0.000516, 0.124079, 2214316, 4292.982344
64, 0.000444, 0.144089, 2147118, 4834.011379
64, 0.000439, 0.145679, 2148991, 4891.607978
64, 0.000840, 0.076146, 2171781, 2583.927824
64, 0.000438, 0.145996, 2147351, 4898.512209
64, 0.000439, 0.145923, 2147238, 4895.808585
64, 0.000816, 0.078477, 2172008, 2663.331384
64, 0.000478, 0.133891, 2162792, 4524.650525
64, 0.000801, 0.079871, 2156546, 2691.335992
64, 0.000732, 0.087421, 2198955, 3003.663479
64, 0.000474, 0.134954, 2168161, 4571.912659
64, 0.000528, 0.121158, 2179048, 4125.141035
64, 0.000439, 0.145713, 2188349, 4982.364151
64, 0.000676, 0.094622, 2169129, 3206.991684
64, 0.000699, 0.091588, 2158394, 3088.803343
64, 0.000439, 0.145941, 2147238, 4896.411444
64, 0.000663, 0.096544, 2167806, 3270.131285
64, 0.000527, 0.121434, 2185445, 4146.671195
64, 0.000439, 0.145655, 2147111, 4886.516688
64, 0.000441, 0.145196, 2147351, 4871.662764
64, 0.000719, 0.088978, 2175752, 3024.919502
64, 0.000546, 0.117176, 2193166, 4015.412304
64, 0.000520, 0.122972, 2189101, 4206.234316
64, 0.000444, 0.144213, 2147749, 4839.594220
64, 0.000443, 0.144611, 2148545, 4854.744829
64, 0.000439, 0.145922, 2148912, 4899.580703
64, 0.000480, 0.133432, 2148864, 4480.113417
64, 0.000879, 0.072851, 2195143, 2498.711455
64, 0.000440, 0.145531, 2148864, 4886.336039
64, 0.000439, 0.145856, 2147238, 4893.565913
64, 0.000459, 0.139422, 2158159, 4701.471988
64, 0.000609, 0.105068, 2155727, 3539.026152
64, 0.000484, 0.132265, 2160723, 4465.447759
64, 0.000583, 0.109703, 2149631, 3684.698506
64, 0.000741, 0.086316, 2148276, 2897.343634
64, 0.000478, 0.133914, 2193947, 4590.625190
64, 0.000576, 0.111133, 2163487, 3756.790829
64, 0.000444, 0.144112, 2148977, 4838.970227
64, 0.000443, 0.144321, 2148977, 4845.975700
64, 0.000494, 0.129491, 2148977, 4348.017069
64, 0.000683, 0.093659, 2147111, 3142.115191
64, 0.000469, 0.136551, 2148545, 4584.139657
64, 0.000442, 0.144942, 2147238, 4862.889418
64, 0.000796, 0.080412, 2156678, 2709.728082
64, 0.000478, 0.134019, 2156330, 4515.448806
64, 0.000439, 0.145736, 2148977, 4893.503116
64, 0.000440, 0.145374, 2148977, 4881.342804
64, 0.000718, 0.089142, 2148864, 2993.030214
64, 0.000518, 0.123603, 2147111, 4146.699035
64, 0.000683, 0.093672, 2158759, 3159.623437
64, 0.000520, 0.123104, 2154465, 4144.126382
64, 0.000444, 0.144084, 2147111, 4833.810611
64, 0.000442, 0.144791, 2147111, 4857.552346
64, 0.000495, 0.129213, 2193648, 4428.874272
64, 0.000722, 0.088650, 2203713, 3052.483513
64, 0.000442, 0.144640, 2147238, 4852.745554
64, 0.000567, 0.112935, 2161958, 3815.022516
64, 0.000453, 0.141251, 2148912, 4742.761420
64, 0.000440, 0.145574, 2147351, 4884.361679
64, 0.000472, 0.135733, 2157048, 4574.737070
64, 0.000690, 0.092816, 2148977, 3116.555191
64, 0.000470, 0.136233, 2154631, 4586.419319
64, 0.000903, 0.070865, 2164686, 2396.894768
64, 0.000440, 0.145327, 2147111, 4875.520566
64, 0.000439, 0.145676, 2148977, 4891.464769
64, 0.000438, 0.146021, 2147444, 4899.573800
64, 0.000886, 0.072220, 2160484, 2437.982480
64, 0.000448, 0.142923, 2162025, 4828.168756
64, 0.000439, 0.145809, 2147245, 4892.009870
64, 0.000439, 0.145661, 2148545, 4889.980586
64, 0.000672, 0.095297, 2201159, 3277.568074
