compilador_flag,photons,time,pus
gcc_Ofastfdisabletreecunrolli,16777216, 9.593391, 1.748831
gcc_Ofastfdisabletreecunrolli,16777216, 9.591736, 1.749132
gcc_Ofastfdisabletreecunrolli,16777216, 9.610344, 1.745746
gcc_Ofastfdisabletreecunrolli,16777216, 9.709737, 1.727875
gcc_Ofastfdisabletreecunrolli,16777216, 9.593417, 1.748826
gcc_Ofastfdisabletreecunrolli,16777216, 11.130092, 1.507374
gcc_Ofastfdisabletreecunrolli,16777216, 9.737471, 1.722954
gcc_Ofastfdisabletreecunrolli,16777216, 12.924749, 1.298069
gcc_Ofastfdisabletreecunrolli,16777216, 9.603921, 1.746913
gcc_Ofastfdisabletreecunrolli,16777216, 12.476513, 1.344704
gcc_Ofastfdisabletreecunrolli,16777216, 10.786514, 1.555388
gcc_Ofastfdisabletreecunrolli,16777216, 9.603795, 1.746936
gcc_Ofastfdisabletreecunrolli,16777216, 9.719635, 1.726116
gcc_Ofastfdisabletreecunrolli,16777216, 9.596865, 1.748197
gcc_Ofastfdisabletreecunrolli,16777216, 9.713687, 1.727173
gcc_Ofastfdisabletreecunrolli,16777216, 9.708727, 1.728055
gcc_Ofastfdisabletreecunrolli,16777216, 9.619901, 1.744011
gcc_Ofastfdisabletreecunrolli,16777216, 9.729840, 1.724305
gcc_Ofastfdisabletreecunrolli,16777216, 9.723300, 1.725465
gcc_Ofastfdisabletreecunrolli,16777216, 9.691048, 1.731208
