compilador_flag,photons,time,pus
gcc_O1,16777216, 12.180583, 1.377374
gcc_O1,16777216, 13.850058, 1.211346
gcc_O1,16777216, 12.600832, 1.331437
gcc_O1,16777216, 12.189964, 1.376314
gcc_O1,16777216, 12.178918, 1.377562
gcc_O1,16777216, 12.170225, 1.378546
gcc_O1,16777216, 12.393696, 1.353690
gcc_O1,16777216, 12.209607, 1.374100
gcc_O1,16777216, 13.252334, 1.265982
gcc_O1,16777216, 12.221511, 1.372761
gcc_O1,16777216, 12.864740, 1.304124
gcc_O1,16777216, 12.144353, 1.381483
gcc_O1,16777216, 12.214028, 1.373602
gcc_O1,16777216, 12.547740, 1.337071
gcc_O1,16777216, 12.240891, 1.370588
gcc_O1,16777216, 12.117370, 1.384559
gcc_O1,16777216, 12.226341, 1.372219
gcc_O1,16777216, 12.216257, 1.373352
gcc_O1,16777216, 12.127229, 1.383434
gcc_O1,16777216, 12.103590, 1.386135
gcc_O2,16777216, 12.110479, 1.385347
gcc_O2,16777216, 12.061476, 1.390975
gcc_O2,16777216, 12.035907, 1.393930
gcc_O2,16777216, 12.289151, 1.365205
gcc_O2,16777216, 12.156807, 1.380068
gcc_O2,16777216, 12.597132, 1.331828
gcc_O2,16777216, 12.385377, 1.354599
gcc_O2,16777216, 12.136093, 1.382423
gcc_O2,16777216, 12.082960, 1.388502
gcc_O2,16777216, 12.054169, 1.391819
gcc_O2,16777216, 12.179383, 1.377510
gcc_O2,16777216, 12.151868, 1.380629
gcc_O2,16777216, 12.117847, 1.384505
gcc_O2,16777216, 12.079440, 1.388907
gcc_O2,16777216, 12.042971, 1.393113
gcc_O2,16777216, 12.292478, 1.364836
gcc_O2,16777216, 12.337682, 1.359835
gcc_O2,16777216, 12.271207, 1.367202
gcc_O2,16777216, 12.165079, 1.379129
gcc_O2,16777216, 12.317030, 1.362115
gcc_O3,16777216, 33.464542, 0.501343
gcc_O3,16777216, 33.349348, 0.503075
gcc_O3,16777216, 33.512869, 0.500620
gcc_O3,16777216, 33.400572, 0.502303
gcc_O3,16777216, 33.508788, 0.500681
gcc_O3,16777216, 33.475834, 0.501174
gcc_O3,16777216, 33.452113, 0.501529
gcc_O3,16777216, 33.506201, 0.500720
gcc_O3,16777216, 33.993428, 0.493543
gcc_O3,16777216, 33.510970, 0.500648
gcc_O3,16777216, 33.316445, 0.503572
gcc_O3,16777216, 33.357470, 0.502952
gcc_O3,16777216, 33.437105, 0.501754
gcc_O3,16777216, 33.449269, 0.501572
gcc_O3,16777216, 33.267896, 0.504306
gcc_O3,16777216, 33.491544, 0.500939
gcc_O3,16777216, 33.455582, 0.501477
gcc_O3,16777216, 33.487621, 0.500998
gcc_O3,16777216, 33.716601, 0.497595
gcc_O3,16777216, 33.370615, 0.502754
gcc_O3fdisabletreecunrolli,16777216, 9.745580, 1.721521
gcc_O3fdisabletreecunrolli,16777216, 12.919917, 1.298555
gcc_O3fdisabletreecunrolli,16777216, 9.747896, 1.721112
gcc_O3fdisabletreecunrolli,16777216, 9.880961, 1.697934
gcc_O3fdisabletreecunrolli,16777216, 9.755379, 1.719791
gcc_O3fdisabletreecunrolli,16777216, 9.751660, 1.720447
gcc_O3fdisabletreecunrolli,16777216, 9.830593, 1.706633
gcc_O3fdisabletreecunrolli,16777216, 9.762674, 1.718506
gcc_O3fdisabletreecunrolli,16777216, 9.762283, 1.718575
gcc_O3fdisabletreecunrolli,16777216, 9.789820, 1.713741
gcc_O3fdisabletreecunrolli,16777216, 9.750195, 1.720706
gcc_O3fdisabletreecunrolli,16777216, 9.744869, 1.721646
gcc_O3fdisabletreecunrolli,16777216, 9.751171, 1.720533
gcc_O3fdisabletreecunrolli,16777216, 9.745042, 1.721616
gcc_O3fdisabletreecunrolli,16777216, 9.751491, 1.720477
gcc_O3fdisabletreecunrolli,16777216, 9.751624, 1.720454
gcc_O3fdisabletreecunrolli,16777216, 9.750194, 1.720706
gcc_O3fdisabletreecunrolli,16777216, 9.765070, 1.718085
gcc_O3fdisabletreecunrolli,16777216, 9.748064, 1.721082
gcc_O3fdisabletreecunrolli,16777216, 13.054275, 1.285189
gcc_Ofast,16777216, 33.762453, 0.496919
gcc_Ofast,16777216, 33.863682, 0.495434
gcc_Ofast,16777216, 33.270506, 0.504267
gcc_Ofast,16777216, 33.871597, 0.495318
gcc_Ofast,16777216, 33.215205, 0.505106
gcc_Ofast,16777216, 33.549309, 0.500076
gcc_Ofast,16777216, 33.462975, 0.501367
gcc_Ofast,16777216, 33.460641, 0.501402
gcc_Ofast,16777216, 33.454763, 0.501490
gcc_Ofast,16777216, 33.302393, 0.503784
gcc_Ofast,16777216, 33.485909, 0.501023
gcc_Ofast,16777216, 33.430041, 0.501860
gcc_Ofast,16777216, 33.316987, 0.503563
gcc_Ofast,16777216, 33.440186, 0.501708
gcc_Ofast,16777216, 33.314874, 0.503595
gcc_Ofast,16777216, 33.855434, 0.495555
gcc_Ofast,16777216, 33.431259, 0.501842
gcc_Ofast,16777216, 33.784747, 0.496591
gcc_Ofast,16777216, 33.531475, 0.500342
gcc_Ofast,16777216, 33.288383, 0.503996
gcc_Ofastfdisabletreecunrolli,16777216, 9.593391, 1.748831
gcc_Ofastfdisabletreecunrolli,16777216, 9.591736, 1.749132
gcc_Ofastfdisabletreecunrolli,16777216, 9.610344, 1.745746
gcc_Ofastfdisabletreecunrolli,16777216, 9.709737, 1.727875
gcc_Ofastfdisabletreecunrolli,16777216, 9.593417, 1.748826
gcc_Ofastfdisabletreecunrolli,16777216, 11.130092, 1.507374
gcc_Ofastfdisabletreecunrolli,16777216, 9.737471, 1.722954
gcc_Ofastfdisabletreecunrolli,16777216, 12.924749, 1.298069
gcc_Ofastfdisabletreecunrolli,16777216, 9.603921, 1.746913
gcc_Ofastfdisabletreecunrolli,16777216, 12.476513, 1.344704
gcc_Ofastfdisabletreecunrolli,16777216, 10.786514, 1.555388
gcc_Ofastfdisabletreecunrolli,16777216, 9.603795, 1.746936
gcc_Ofastfdisabletreecunrolli,16777216, 9.719635, 1.726116
gcc_Ofastfdisabletreecunrolli,16777216, 9.596865, 1.748197
gcc_Ofastfdisabletreecunrolli,16777216, 9.713687, 1.727173
gcc_Ofastfdisabletreecunrolli,16777216, 9.708727, 1.728055
gcc_Ofastfdisabletreecunrolli,16777216, 9.619901, 1.744011
gcc_Ofastfdisabletreecunrolli,16777216, 9.729840, 1.724305
gcc_Ofastfdisabletreecunrolli,16777216, 9.723300, 1.725465
gcc_Ofastfdisabletreecunrolli,16777216, 9.691048, 1.731208
icx_O1,16777216, 36.635152, 0.457954
icx_O1,16777216, 36.222177, 0.463175
icx_O1,16777216, 36.238714, 0.462964
icx_O1,16777216, 39.838340, 0.421132
icx_O1,16777216, 36.273856, 0.462515
icx_O1,16777216, 36.249797, 0.462822
icx_O1,16777216, 36.244442, 0.462891
icx_O1,16777216, 36.382780, 0.461131
icx_O1,16777216, 36.570013, 0.458770
icx_O1,16777216, 36.277024, 0.462475
icx_O1,16777216, 36.258664, 0.462709
icx_O1,16777216, 36.313428, 0.462011
icx_O1,16777216, 36.828917, 0.455545
icx_O1,16777216, 36.254484, 0.462763
icx_O1,16777216, 36.628499, 0.458037
icx_O1,16777216, 36.862012, 0.455136
icx_O1,16777216, 36.286278, 0.462357
icx_O1,16777216, 36.218889, 0.463217
icx_O1,16777216, 36.226652, 0.463118
icx_O1,16777216, 36.406964, 0.460824
icx_O1fnounrollloops,16777216, 36.292400, 0.462279
icx_O1fnounrollloops,16777216, 36.435914, 0.460458
icx_O1fnounrollloops,16777216, 36.303981, 0.462132
icx_O1fnounrollloops,16777216, 36.227756, 0.463104
icx_O1fnounrollloops,16777216, 36.397524, 0.460944
icx_O1fnounrollloops,16777216, 36.249328, 0.462828
icx_O1fnounrollloops,16777216, 36.208878, 0.463345
icx_O1fnounrollloops,16777216, 36.209462, 0.463338
icx_O1fnounrollloops,16777216, 36.292071, 0.462283
icx_O1fnounrollloops,16777216, 36.453075, 0.460241
icx_O1fnounrollloops,16777216, 36.214771, 0.463270
icx_O1fnounrollloops,16777216, 36.477509, 0.459933
icx_O1fnounrollloops,16777216, 36.376371, 0.461212
icx_O1fnounrollloops,16777216, 36.204783, 0.463398
icx_O1fnounrollloops,16777216, 36.834121, 0.455480
icx_O1fnounrollloops,16777216, 36.264803, 0.462631
