compilador_flag,photons,time,pus
gcc_O1,16777216, 7.187196, 2.334320
gcc_O1,16777216, 7.205920, 2.328255
gcc_O1,16777216, 7.277895, 2.305229
gcc_O1,16777216, 7.209269, 2.327173
gcc_O1,16777216, 7.216898, 2.324713
gcc_O1,16777216, 7.251685, 2.313561
gcc_O1,16777216, 7.209500, 2.327099
gcc_O1,16777216, 7.230155, 2.320450
gcc_O1,16777216, 7.210559, 2.326757
gcc_O1,16777216, 7.198949, 2.330509
gcc_O2,16777216, 6.541316, 2.564807
gcc_O2,16777216, 7.167863, 2.340616
gcc_O2,16777216, 6.546097, 2.562934
gcc_O2,16777216, 6.592541, 2.544879
gcc_O2,16777216, 6.526117, 2.570781
gcc_O2,16777216, 7.323913, 2.580165
gcc_O2,16777216, 6.509910, 2.577181
gcc_O2,16777216, 6.519725, 2.573301
gcc_O2,16777216, 6.598039, 2.542758
gcc_O2,16777216, 6.524165, 2.571550
gcc_O3,16777216, 17.325450, 0.968357
gcc_O3,16777216, 16.886423, 0.993533
gcc_O3,16777216, 16.992057, 0.987356
gcc_O3,16777216, 16.973184, 0.988454
gcc_O3,16777216, 16.960685, 0.989183
gcc_O3,16777216, 16.973347, 0.988445
gcc_O3,16777216, 17.010277, 0.986299
gcc_O3,16777216, 16.947722, 0.989939
gcc_O3,16777216, 16.892816, 0.993157
gcc_O3,16777216, 16.996100, 0.987122
gcc_O3fdisabletreecunrolli,16777216, 6.565239, 2.555462
gcc_O3fdisabletreecunrolli,16777216, 6.573946, 2.552077
gcc_O3fdisabletreecunrolli,16777216, 6.572602, 2.552599
gcc_O3fdisabletreecunrolli,16777216, 6.640401, 2.526537
gcc_O3fdisabletreecunrolli,16777216, 6.728153, 2.493584
gcc_O3fdisabletreecunrolli,16777216, 6.561454, 2.556936
gcc_O3fdisabletreecunrolli,16777216, 6.538494, 2.565915
gcc_O3fdisabletreecunrolli,16777216, 6.573426, 2.552279
gcc_O3fdisabletreecunrolli,16777216, 6.569586, 2.553771
gcc_O3fdisabletreecunrolli,16777216, 6.563207, 2.556253
gcc_Ofast,16777216, 16.637881, 1.008375
gcc_Ofast,16777216, 16.693301, 1.005027
gcc_Ofast,16777216, 16.661898, 1.006921
gcc_Ofast,16777216, 16.638847, 1.008316
