photons,time,pus
16777216, 9.324579, 1.799246
16777216, 9.037526, 1.856395
16777216, 10.504298, 1.597176
16777216, 9.042956, 1.855280
16777216, 9.179590, 1.827665
16777216, 9.089402, 1.845800
16777216, 9.179584, 1.827666
16777216, 12.888374, 1.301733
16777216, 9.183008, 1.826985
16777216, 9.059790, 1.851833
16777216, 13.068738, 1.283767
16777216, 9.034657, 1.856984
16777216, 9.042152, 1.855445
16777216, 9.099664, 1.843718
16777216, 9.053900, 1.853038
16777216, 9.204889, 1.822642
16777216, 9.137652, 1.836053
16777216, 9.172653, 1.829047
16777216, 9.043488, 1.855171
16777216, 12.480613, 1.344262
