photons,time,pus
16777216, 6.629360, 2.530745
16777216, 6.625714, 2.532137
16777216, 6.607405, 2.539154
16777216, 6.647422, 2.523868
16777216, 6.615170, 2.536173
16777216, 6.604524, 2.540261
16777216, 6.583265, 2.548464
16777216, 6.615510, 2.536043
16777216, 6.602485, 2.541046
16777216, 6.586377, 2.547260
16777216, 6.790474, 2.470699
16777216, 6.602180, 2.541163
16777216, 6.594480, 2.544130
16777216, 6.607202, 2.539232
16777216, 6.608962, 2.538555
16777216, 6.587358, 2.546881
16777216, 6.590031, 2.545848
16777216, 6.588266, 2.546530
16777216, 6.611176, 2.537705
16777216, 6.626251, 2.531932
