compilador_flag,photons,time,pus
icx_O2fnounrollloops,16777216, 10.735724, 1.562747
icx_O2fnounrollloops,16777216, 10.734176, 1.562972
icx_O2fnounrollloops,16777216, 10.786316, 1.555417
icx_O2fnounrollloops,16777216, 10.875231, 1.542700
icx_O2fnounrollloops,16777216, 10.731538, 1.563356
icx_O2fnounrollloops,16777216, 10.725691, 1.564208
icx_O2fnounrollloops,16777216, 10.736549, 1.562627
icx_O2fnounrollloops,16777216, 10.877852, 1.542328
icx_O2fnounrollloops,16777216, 12.965067, 1.294032
icx_O2fnounrollloops,16777216, 11.442249, 1.466252
icx_O2fnounrollloops,16777216, 10.862354, 1.544529
icx_O2fnounrollloops,16777216, 10.847681, 1.546618
icx_O2fnounrollloops,16777216, 10.979589, 1.528037
icx_O2fnounrollloops,16777216, 10.729905, 1.563594
icx_O2fnounrollloops,16777216, 10.702632, 1.567578
icx_O2fnounrollloops,16777216, 12.888317, 1.301738
icx_O2fnounrollloops,16777216, 11.098695, 1.511639
icx_O2fnounrollloops,16777216, 10.708295, 1.566749
icx_O2fnounrollloops,16777216, 10.982345, 1.527653
icx_O2fnounrollloops,16777216, 11.220542, 1.495223
