compilador_flag,photons,time,pus
icx_O3fnounrollloops,16777216, 7.108467, 2.360174
icx_O3fnounrollloops,16777216, 7.089208, 2.366585
icx_O3fnounrollloops,16777216, 7.108348, 2.360213
icx_O3fnounrollloops,16777216, 7.259936, 2.310932
icx_O3fnounrollloops,16777216, 7.330015, 2.288838
icx_O3fnounrollloops,16777216, 7.097294, 2.363889
icx_O3fnounrollloops,16777216, 7.102042, 2.362309
icx_O3fnounrollloops,16777216, 7.105057, 2.361306
icx_O3fnounrollloops,16777216, 7.364830, 2.278018
icx_O3fnounrollloops,16777216, 7.077700, 2.370433
