compilador_flag,photons,time,pus
gcc_O1,16777216, 14.265158, 1.176097
gcc_O1,16777216, 13.569046, 1.236433
gcc_O1,16777216, 13.739737, 1.221073
gcc_O1,16777216, 14.549965, 1.153076
gcc_O1,16777216, 13.578262, 1.235594
gcc_O1,16777216, 13.572882, 1.236084
gcc_O1,16777216, 13.774045, 1.218031
gcc_O1,16777216, 13.564722, 1.236827
gcc_O1,16777216, 13.561261, 1.237143
gcc_O1,16777216, 13.711990, 1.223543
gcc_O1,16777216, 13.771740, 1.218235
gcc_O1,16777216, 14.256903, 1.176778
gcc_O1,16777216, 13.953288, 1.202384
gcc_O1,16777216, 13.595554, 1.234022
gcc_O1,16777216, 13.572115, 1.236153
gcc_O1,16777216, 15.478260, 1.083921
gcc_O1,16777216, 13.738900, 1.221147
gcc_O1,16777216, 13.563845, 1.236907
gcc_O1,16777216, 13.596121, 1.233971
gcc_O1,16777216, 13.571852, 1.236177
gcc_O2,16777216, 14.164966, 1.184416
gcc_O2,16777216, 13.195029, 1.271480
gcc_O2,16777216, 13.197733, 1.271220
gcc_O2,16777216, 13.380932, 1.253815
gcc_O2,16777216, 13.496758, 1.243055
gcc_O2,16777216, 13.222265, 1.268861
gcc_O2,16777216, 13.197799, 1.271213
gcc_O2,16777216, 13.362887, 1.255508
gcc_O2,16777216, 13.321235, 1.259434
gcc_O2,16777216, 13.407317, 1.251348
gcc_O2,16777216, 13.851936, 1.211182
gcc_O2,16777216, 13.226982, 1.268408
gcc_O2,16777216, 13.209648, 1.270073
gcc_O2,16777216, 13.209301, 1.270106
gcc_O2,16777216, 13.203774, 1.270638
gcc_O2,16777216, 13.713993, 1.223365
gcc_O2,16777216, 13.200786, 1.270926
gcc_O2,16777216, 13.349416, 1.256775
gcc_O2,16777216, 13.208307, 1.270202
gcc_O2,16777216, 13.704157, 1.224243
gcc_O3,16777216, 46.629292, 0.359800
gcc_O3,16777216, 46.502085, 0.360784
gcc_O3,16777216, 46.527691, 0.360586
gcc_O3,16777216, 46.578702, 0.360191
gcc_O3,16777216, 46.656121, 0.359593
gcc_O3,16777216, 46.576472, 0.360208
gcc_O3,16777216, 46.574255, 0.360225
gcc_O3,16777216, 46.774894, 0.358680
gcc_O3,16777216, 46.695515, 0.359290
gcc_O3,16777216, 46.549382, 0.360418
gcc_O3,16777216, 46.548717, 0.360423
gcc_O3,16777216, 46.587499, 0.360123
gcc_O3,16777216, 46.542657, 0.360470
gcc_O3,16777216, 46.519176, 0.360652
gcc_O3,16777216, 46.525593, 0.360602
gcc_O3,16777216, 46.529386, 0.360572
gcc_O3,16777216, 46.562894, 0.360313
gcc_O3,16777216, 46.524467, 0.360611
gcc_O3,16777216, 46.530910, 0.360561
gcc_O3,16777216, 46.518569, 0.360656
gcc_O3fdisabletreecunrolli,16777216, 13.269059, 1.264386
gcc_O3fdisabletreecunrolli,16777216, 13.276674, 1.263661
gcc_O3fdisabletreecunrolli,16777216, 13.780536, 1.217457
gcc_O3fdisabletreecunrolli,16777216, 13.263800, 1.264888
