compilador_flag,photons,time,pus
gcc_O1,16777216, 10.498577, 1.598047
gcc_O1,16777216, 10.151393, 1.652701
gcc_O1,16777216, 10.245841, 1.637466
gcc_O1,16777216, 10.271753, 1.633335
gcc_O1,16777216, 10.273581, 1.633045
gcc_O1,16777216, 10.320700, 1.625589
gcc_O1,16777216, 10.142441, 1.654160
gcc_O1,16777216, 10.142776, 1.654105
gcc_O1,16777216, 10.165581, 1.650394
gcc_O1,16777216, 10.251763, 1.636520
gcc_O2,16777216, 9.668246, 1.735291
gcc_O2,16777216, 9.404813, 1.783897
gcc_O2,16777216, 9.396347, 1.785504
gcc_O2,16777216, 9.413177, 1.782312
gcc_O2,16777216, 9.393566, 1.786033
gcc_O2,16777216, 9.402779, 1.784283
gcc_O2,16777216, 9.422537, 1.780541
gcc_O2,16777216, 9.406435, 1.783589
gcc_O2,16777216, 9.400647, 1.784687
gcc_O2,16777216, 9.410808, 1.782760
gcc_O3,16777216, 23.750352, 0.706399
gcc_O3,16777216, 23.726298, 0.707115
gcc_O3,16777216, 24.019329, 0.698488
gcc_O3,16777216, 23.724080, 0.707181
gcc_O3,16777216, 23.751593, 0.706362
gcc_O3,16777216, 23.830535, 0.704022
gcc_O3,16777216, 23.707405, 0.707678
gcc_O3,16777216, 23.972033, 0.699866
gcc_O3,16777216, 23.705009, 0.707750
gcc_O3,16777216, 23.763934, 0.705995
gcc_O3fdisabletreecunrolli,16777216, 10.121797, 1.657533
gcc_O3fdisabletreecunrolli,16777216, 9.955514, 1.685219
gcc_O3fdisabletreecunrolli,16777216, 9.897683, 1.695065
gcc_O3fdisabletreecunrolli,16777216, 10.052995, 1.668877
gcc_O3fdisabletreecunrolli,16777216, 9.836327, 1.705638
gcc_O3fdisabletreecunrolli,16777216, 10.016064, 1.675031
gcc_O3fdisabletreecunrolli,16777216, 9.838214, 1.705311
gcc_O3fdisabletreecunrolli,16777216, 9.825356, 1.707543
gcc_O3fdisabletreecunrolli,16777216, 10.087909, 1.663101
gcc_O3fdisabletreecunrolli,16777216, 10.033185, 1.672173
gcc_Ofast,16777216, 25.504355, 0.657818
gcc_Ofast,16777216, 24.945223, 0.672562
gcc_Ofast,16777216, 25.068871, 0.669245
gcc_Ofast,16777216, 25.255749, 0.664293
gcc_Ofast,16777216, 24.933666, 0.672874
gcc_Ofast,16777216, 25.315029, 0.662737
gcc_Ofast,16777216, 25.172916, 0.666479
gcc_Ofast,16777216, 24.948227, 0.672481
gcc_Ofast,16777216, 25.250952, 0.664419
gcc_Ofast,16777216, 24.934941, 0.672840
gcc_Ofastfdisabletreecunrolli,16777216, 9.772397, 1.716796
gcc_Ofastfdisabletreecunrolli,16777216, 9.764226, 1.718233
gcc_Ofastfdisabletreecunrolli,16777216, 9.771561, 1.716943
gcc_Ofastfdisabletreecunrolli,16777216, 9.765611, 1.717989
gcc_Ofastfdisabletreecunrolli,16777216, 9.957049, 1.684959
gcc_Ofastfdisabletreecunrolli,16777216, 9.761453, 1.718721
gcc_Ofastfdisabletreecunrolli,16777216, 9.765047, 1.718089
gcc_Ofastfdisabletreecunrolli,16777216, 9.803036, 1.711431
gcc_Ofastfdisabletreecunrolli,16777216, 9.766173, 1.717891
gcc_Ofastfdisabletreecunrolli,16777216, 9.765843, 1.717948
icx_O1,16777216, 49.389080, 0.339695
icx_O1,16777216, 49.379389, 0.339762
icx_O1,16777216, 49.359095, 0.339901
icx_O1,16777216, 49.473714, 0.339114
icx_O1,16777216, 49.434280, 0.339384
icx_O1,16777216, 50.129884, 0.334675
icx_O1,16777216, 49.376509, 0.339781
icx_O1,16777216, 49.370789, 0.339821
icx_O1,16777216, 49.374653, 0.339794
icx_O1,16777216, 49.394823, 0.339655
icx_O1fnounrollloops,16777216, 49.347999, 0.339978
icx_O1fnounrollloops,16777216, 49.410013, 0.339551
icx_O1fnounrollloops,16777216, 49.398100, 0.339633
icx_O1fnounrollloops,16777216, 49.374576, 0.339795
icx_O1fnounrollloops,16777216, 49.403608, 0.339595
icx_O1fnounrollloops,16777216, 50.125335, 0.334705
icx_O1fnounrollloops,16777216, 49.413145, 0.339529
icx_O1fnounrollloops,16777216, 49.405540, 0.339582
icx_O1fnounrollloops,16777216, 49.381697, 0.339746
icx_O1fnounrollloops,16777216, 49.622373, 0.338098
icx_O2,16777216, 32.163531, 0.521622
icx_O2,16777216, 32.037011, 0.523682
icx_O2,16777216, 32.158775, 0.521699
icx_O2,16777216, 32.008066, 0.524156
icx_O2,16777216, 32.162791, 0.521634
icx_O2,16777216, 32.134514, 0.522093
icx_O2,16777216, 32.143154, 0.521953
icx_O2,16777216, 32.113525, 0.522435
icx_O2,16777216, 31.961271, 0.524923
icx_O2,16777216, 32.032621, 0.523754
icx_O2fnounrollloops,16777216, 26.679891, 0.628834
icx_O2fnounrollloops,16777216, 26.329826, 0.637194
icx_O2fnounrollloops,16777216, 26.324537, 0.637322
icx_O2fnounrollloops,16777216, 26.256669, 0.638970
icx_O2fnounrollloops,16777216, 26.256333, 0.638978
icx_O2fnounrollloops,16777216, 26.370018, 0.636223
icx_O2fnounrollloops,16777216, 26.259881, 0.638892
icx_O2fnounrollloops,16777216, 26.273130, 0.638569
icx_O2fnounrollloops,16777216, 26.396578, 0.635583
icx_O2fnounrollloops,16777216, 26.229575, 0.639630
icx_O3,16777216, 32.695303, 0.513138
icx_O3,16777216, 32.690036, 0.513221
icx_O3,16777216, 32.674642, 0.513463
icx_O3,16777216, 32.699178, 0.513078
icx_O3,16777216, 32.794961, 0.511579
icx_O3,16777216, 32.717135, 0.512796
icx_O3,16777216, 33.165136, 0.505869
icx_O3,16777216, 32.938473, 0.509350
icx_O3,16777216, 32.703002, 0.513018
icx_O3,16777216, 32.650313, 0.513845
icx_O3fnounrollloops,16777216, 7.108467, 2.360174
icx_O3fnounrollloops,16777216, 7.089208, 2.366585
icx_O3fnounrollloops,16777216, 7.108348, 2.360213
icx_O3fnounrollloops,16777216, 7.259936, 2.310932
icx_O3fnounrollloops,16777216, 7.330015, 2.288838
icx_O3fnounrollloops,16777216, 7.097294, 2.363889
icx_O3fnounrollloops,16777216, 7.102042, 2.362309
icx_O3fnounrollloops,16777216, 7.105057, 2.361306
icx_O3fnounrollloops,16777216, 7.364830, 2.278018
icx_O3fnounrollloops,16777216, 7.077700, 2.370433
