photons,time,pus
16777216, 11.479270, 1.461523
16777216, 12.119914, 1.384269
16777216, 11.160377, 1.503284
16777216, 10.961881, 1.530505
16777216, 10.850703, 1.546187
16777216, 10.938981, 1.533709
16777216, 11.582644, 1.448479
16777216, 10.982887, 1.527578
16777216, 10.843850, 1.547164
16777216, 10.871979, 1.543161
16777216, 10.943340, 1.533098
16777216, 11.073301, 1.515105
16777216, 10.990841, 1.526472
16777216, 10.952495, 1.531817
16777216, 11.747311, 1.428175
16777216, 10.963467, 1.530284
16777216, 10.854291, 1.545676
16777216, 10.873920, 1.542886
16777216, 10.843310, 1.547241
16777216, 10.859427, 1.544945
