photons,time,pus
16777216, 7.329954, 2.288857
16777216, 7.336829, 2.286712
16777216, 7.321291, 2.291565
16777216, 7.457727, 2.249642
16777216, 7.354232, 2.281301
16777216, 7.394350, 2.268924
16777216, 7.317443, 2.292770
16777216, 7.354053, 2.281356
16777216, 7.355148, 2.281017
16777216, 7.326251, 2.290014
16777216, 7.404533, 2.265804
16777216, 7.395876, 2.268455
16777216, 7.326581, 2.289911
16777216, 7.322080, 2.291318
16777216, 7.263453, 2.309813
16777216, 7.369752, 2.276497
16777216, 7.940966, 2.112742
16777216, 7.321572, 2.291477
16777216, 7.321369, 2.291541
16777216, 7.324811, 2.290464
