threads,photons,time,pus
1,33554432, 14.460798, 2.320372
1,33554432, 14.354726, 2.337518
1,33554432, 14.330746, 2.341430
1,33554432, 14.441346, 2.323498
1,33554432, 14.335119, 2.340715
1,33554432, 14.561526, 2.304321
1,33554432, 14.332976, 2.341065
1,33554432, 14.308164, 2.345125
1,33554432, 14.414940, 2.327754
1,33554432, 14.316606, 2.343742
24,805306368, 16.242160, 49.581236
24,805306368, 16.226231, 49.629908
24,805306368, 16.204256, 49.697212
24,805306368, 16.205479, 49.693462
24,805306368, 16.214133, 49.666939
24,805306368, 16.288011, 49.441663
24,805306368, 16.252586, 49.549429
24,805306368, 16.217438, 49.656817
24,805306368, 16.226843, 49.628037
24,805306368, 16.203997, 49.698007
48,1610612736, 20.288799, 79.384331
48,1610612736, 20.245824, 79.552836
48,1610612736, 20.247798, 79.545082
48,1610612736, 20.273515, 79.444179
48,1610612736, 20.243370, 79.562482
48,1610612736, 20.386949, 79.002145
48,1610612736, 20.262670, 79.486697
48,1610612736, 20.290319, 79.378384
48,1610612736, 20.278599, 79.424260
48,1610612736, 20.264709, 79.478701
