threads,photons,time,pus
1,33554432, 14.460798, 2.320372
1,33554432, 14.354726, 2.337518
1,33554432, 14.330746, 2.341430
1,33554432, 14.441346, 2.323498
1,33554432, 14.335119, 2.340715
1,33554432, 14.561526, 2.304321
1,33554432, 14.332976, 2.341065
1,33554432, 14.308164, 2.345125
1,33554432, 14.414940, 2.327754
1,33554432, 14.316606, 2.343742
6,33554432, 2.421838, 13.854948
6,33554432, 2.465542, 13.609356
6,33554432, 2.427268, 13.823948
6,33554432, 2.421418, 13.857350
6,33554432, 2.435844, 13.775280
6,33554432, 2.430221, 13.807155
6,33554432, 2.422822, 13.849317
6,33554432, 2.430026, 13.808259
6,33554432, 2.435723, 13.775965
6,33554432, 2.434829, 13.781024
6,33554432, 2.423411, 13.845950
6,33554432, 2.464558, 13.614788
6,33554432, 2.435557, 13.776905
6,33554432, 2.419134, 13.870433
6,33554432, 2.452883, 13.679590
6,33554432, 2.445031, 13.723518
6,33554432, 2.417451, 13.880087
6,33554432, 2.434956, 13.780301
6,33554432, 2.423146, 13.847468
6,33554432, 2.422100, 13.853444
24,33554432, 0.654293, 51.283461
24,33554432, 0.649821, 51.636457
24,33554432, 0.658526, 50.953870
24,33554432, 0.662411, 50.655001
24,33554432, 0.649768, 51.640662
24,33554432, 0.650114, 51.613133
24,33554432, 0.648275, 51.759579
24,33554432, 0.664691, 50.481276
24,33554432, 0.649412, 51.668935
24,33554432, 0.649735, 51.643273
24,33554432, 0.649647, 51.650288
24,33554432, 0.648368, 51.752144
24,33554432, 0.653018, 51.383586
24,33554432, 0.651142, 51.531637
24,33554432, 0.652950, 51.388961
24,33554432, 0.648429, 51.747263
24,33554432, 0.649861, 51.633210
24,33554432, 0.651953, 51.467586
24,33554432, 0.657658, 51.021104
24,33554432, 0.653192, 51.369917
24,33554432, 0.657307, 51.048324
24,33554432, 0.653457, 51.349102
24,33554432, 0.648290, 51.758364
24,33554432, 0.648347, 51.753839
24,33554432, 0.653767, 51.324781
24,33554432, 0.653723, 51.328226
24,33554432, 0.648546, 51.737923
24,33554432, 0.649040, 51.698526
24,33554432, 0.653807, 51.321622
24,33554432, 0.647219, 51.843980
48,33554432, 0.414625, 80.927167
48,33554432, 0.410153, 81.809463
48,33554432, 0.405404, 82.767926
48,33554432, 0.411591, 81.523642
48,33554432, 0.407701, 82.301619
48,33554432, 0.406362, 82.572760
48,33554432, 0.407032, 82.436751
48,33554432, 0.416382, 80.585738
48,33554432, 0.416580, 80.547341
48,33554432, 0.412525, 81.339072
48,33554432, 0.414218, 81.006743
48,33554432, 0.406219, 82.601740
48,33554432, 0.408021, 82.236998
48,33554432, 0.416874, 80.490659
48,33554432, 0.406211, 82.603450
48,33554432, 0.412498, 81.344544
48,33554432, 0.414728, 80.907035
48,33554432, 0.406324, 82.580541
48,33554432, 0.406275, 82.590393
48,33554432, 0.410031, 81.833818
48,33554432, 0.410402, 81.759931
48,33554432, 0.406653, 82.513574
48,33554432, 0.412659, 81.312689
48,33554432, 0.405383, 82.772253
48,33554432, 0.407582, 82.325685
48,33554432, 0.407894, 82.262618
48,33554432, 0.405099, 82.830175
48,33554432, 0.415910, 80.677178
48,33554432, 0.410027, 81.834712
48,33554432, 0.410539, 81.732659
1,67108864, 29.129376, 2.303821
1,67108864, 29.534422, 2.272225
1,67108864, 28.693474, 2.338820
1,67108864, 28.698504, 2.338410
1,67108864, 28.787336, 2.331194
1,67108864, 28.730288, 2.335823
1,67108864, 28.659502, 2.341592
1,67108864, 28.696920, 2.338539
1,67108864, 29.002581, 2.313893
1,67108864, 29.902920, 2.244224
6,67108864, 4.860563, 13.806809
6,67108864, 4.875483, 13.764556
6,67108864, 4.860290, 13.807585
6,67108864, 4.833748, 13.883402
6,67108864, 4.898754, 13.699170
6,67108864, 4.851153, 13.833590
6,67108864, 4.913589, 13.657810
6,67108864, 4.922346, 13.633513
6,67108864, 4.868078, 13.785496
6,67108864, 4.846371, 13.847239
6,67108864, 4.839544, 13.866773
6,67108864, 4.886826, 13.732609
6,67108864, 4.863825, 13.797549
6,67108864, 4.874423, 13.767550
6,67108864, 5.319226, 12.616285
6,67108864, 4.926473, 13.622090
6,67108864, 4.841457, 13.861295
6,67108864, 4.845657, 13.849280
6,67108864, 4.847063, 13.845262
6,67108864, 4.851457, 13.832722
24,67108864, 1.310052, 51.226104
24,67108864, 1.312462, 51.132037
24,67108864, 1.313703, 51.083725
24,67108864, 1.317164, 50.949527
24,67108864, 1.314818, 51.040428
24,67108864, 1.310342, 51.214786
24,67108864, 1.309849, 51.234053
24,67108864, 1.313425, 51.094536
24,67108864, 1.310894, 51.193200
24,67108864, 1.317380, 50.941147
24,67108864, 1.338769, 50.127286
