threads,photons,time,pus
1,8388608,3.741547,2.242016
1,8388608,4.085185,2.053422
1,8388608,3.664188,2.28935
1,8388608,3.828852,2.190894
1,8388608,3.826156,2.192438
1,8388608,3.662284,2.29054
1,8388608,3.663279,2.289918
1,8388608,3.815825,2.198373
1,8388608,4.082903,2.054569
1,8388608,3.661683,2.290916
1,8388608,3.662058,2.290682
1,8388608,3.859542,2.173472
1,8388608,3.661855,2.290808
1,8388608,3.660941,2.29138
1,8388608,3.666009,2.288213
1,8388608,3.664415,2.289208
1,8388608,3.660992,2.291348
1,8388608,3.821549,2.195081
1,8388608,3.722948,2.253217
1,8388608,3.853394,2.17694
2,16777216,3.746522,4.478078
2,16777216,3.796132,4.419555
2,16777216,3.855659,4.351323
2,16777216,3.755995,4.466783
2,16777216,3.806961,4.406983
2,16777216,3.830229,4.380212
2,16777216,4.197691,3.996773
2,16777216,4.13185,4.060461
2,16777216,4.71718,3.55662
2,16777216,3.933136,4.265608
2,16777216,3.809953,4.403523
2,16777216,3.795688,4.420073
2,16777216,3.784543,4.433089
2,16777216,3.819426,4.392601
2,16777216,3.754368,4.468719
2,16777216,3.758443,4.463873
2,16777216,3.838559,4.370706
2,16777216,3.795883,4.419846
2,16777216,4.001604,4.192623
2,16777216,3.847685,4.360341
4,33554432,5.936478,5.652246
4,33554432,6.018693,5.575036
4,33554432,6.016416,5.577146
4,33554432,5.97971,5.611381
4,33554432,5.982789,5.608494
4,33554432,5.98649,5.605026
4,33554432,5.941116,5.647833
4,33554432,5.935541,5.653138
4,33554432,5.978341,5.612666
4,33554432,5.979667,5.611422
4,33554432,5.935727,5.652961
4,33554432,5.933077,5.655486
4,33554432,5.938116,5.650686
4,33554432,5.985111,5.606318
4,33554432,5.984297,5.60708
4,33554432,5.978406,5.612605
4,33554432,5.980086,5.611028
4,33554432,5.936256,5.652457
4,33554432,5.978288,5.612716
4,33554432,5.979622,5.611464
