photons,blocks,threads,photones_per_thread,time,pus
524288, 128, 128, 32, 0.012396, 42.295152
524288, 128, 128, 32, 0.011635, 45.061250
1048576, 128, 128, 64, 0.022636, 46.323184
1048576, 128, 128, 64, 0.022007, 47.647575
2097152, 128, 128, 128, 0.041674, 50.322386
2097152, 128, 128, 128, 0.042323, 49.551483
4194304, 128, 128, 256, 0.077654, 54.012511
4194304, 128, 128, 256, 0.067851, 61.816150
8388608, 128, 128, 512, 0.121279, 69.167940
8388608, 128, 128, 512, 0.127851, 65.612276
16777216, 128, 128, 1024, 0.231218, 72.560312
16777216, 128, 128, 1024, 0.233356, 71.895520
33554432, 128, 128, 2048, 0.405865, 82.673789
33554432, 128, 128, 2048, 0.402206, 83.425936
67108864, 128, 128, 4096, 0.678554, 98.899864
67108864, 128, 128, 4096, 0.668439, 100.396443
134217728, 128, 128, 8192, 1.147022, 117.014086
134217728, 128, 128, 8192, 1.119005, 119.943827
268435456, 128, 128, 16384, 2.017425, 133.058461
268435456, 128, 128, 16384, 1.961859, 136.827114
536870912, 128, 128, 32768, 3.659182, 146.718828
536870912, 128, 128, 32768, 3.572140, 150.293921
1073741824, 128, 128, 65536, 6.758291, 158.877725
1073741824, 128, 128, 65536, 6.701723, 160.218779
2147483648, 128, 128, 131072, 12.904937, 166.407920
2147483648, 128, 128, 131072, 12.841370, 167.231661
4294967296, 128, 128, 262144, 25.040988, 171.517484
4294967296, 128, 128, 262144, 24.929248, 172.286275
8589934592, 128, 128, 524288, 48.737945, 176.247368
8589934592, 128, 128, 524288, 48.675883, 176.472086
17179869184, 128, 128, 1048576, 95.052680, 180.740503
17179869184, 128, 128, 1048576, 95.033055, 180.777828
34359738368, 128, 128, 2097152, 185.397906, 185.329700
34359738368, 128, 128, 2097152, 185.351719, 185.375882
68719476736, 128, 128, 4194304, 363.988906, 188.795525
68719476736, 128, 128, 4194304, 363.713125, 188.938677
137438953472, 128, 128, 8388608, 714.876188, 192.255604
274877906944, 128, 128, 16777216, 1418.486375, 193.782550
