photons,blocks,threads,photones_per_thread,time,pus
524288, 8192, 64, 1, 0.007946, 65.984165
524288, 8192, 64, 1, 0.008049, 65.139947
1048576, 8192, 64, 2, 0.008318, 126.067131
1048576, 8192, 64, 2, 0.009969, 105.179022
2097152, 8192, 64, 4, 0.012973, 161.653638
2097152, 8192, 64, 4, 0.013422, 156.243448
4194304, 8192, 64, 8, 0.019175, 218.733305
4194304, 8192, 64, 8, 0.019241, 217.989382
8388608, 8192, 64, 16, 0.033505, 250.371056
8388608, 8192, 64, 16, 0.033509, 250.336141
16777216, 8192, 64, 32, 0.061652, 272.126268
16777216, 8192, 64, 32, 0.061815, 271.410921
33554432, 8192, 64, 64, 0.116986, 286.824300
33554432, 8192, 64, 64, 0.117515, 285.533778
67108864, 8192, 64, 128, 0.226368, 296.458692
67108864, 8192, 64, 128, 0.171435, 391.453177
134217728, 8192, 64, 256, 0.392420, 342.026094
134217728, 8192, 64, 256, 0.335974, 399.488184
268435456, 8192, 64, 512, 0.723866, 370.836044
268435456, 8192, 64, 512, 0.667618, 402.079208
536870912, 8192, 64, 1024, 1.372842, 391.065320
536870912, 8192, 64, 1024, 1.328966, 403.976538
1073741824, 8192, 64, 2048, 2.704417, 397.032571
1073741824, 8192, 64, 2048, 2.649288, 405.294475
2147483648, 8192, 64, 4096, 5.281658, 406.592696
2147483648, 8192, 64, 4096, 5.271556, 407.371862
4294967296, 8192, 64, 8192, 10.449694, 411.013677
4294967296, 8192, 64, 8192, 10.531063, 407.837946
8589934592, 8192, 64, 16384, 20.976588, 409.501042
8589934592, 8192, 64, 16384, 21.298549, 403.310792
17179869184, 8192, 64, 32768, 42.904145, 400.424466
17179869184, 8192, 64, 32768, 44.155504, 389.076506
34359738368, 8192, 64, 65536, 81.164078, 423.336766
34359738368, 8192, 64, 65536, 86.783727, 395.923749
68719476736, 8192, 64, 131072, 174.699281, 393.358669
68719476736, 8192, 64, 131072, 174.559328, 393.674045
137438953472, 8192, 64, 262144, 347.047188, 396.023822
