photons,blocks,threads,photones_per_thread,time,pus
4294967296, 32, 32, 4194304, 139.165516, 30.862296
4294967296, 32, 32, 4194304, 139.510359, 30.786010
4294967296, 32, 64, 2097152, 73.282781, 58.608137
4294967296, 32, 64, 2097152, 73.198859, 58.675331
4294967296, 32, 128, 1048576, 41.945508, 102.393975
4294967296, 32, 128, 1048576, 41.865031, 102.590806
4294967296, 32, 256, 524288, 30.436043, 141.114510
4294967296, 32, 256, 524288, 30.356383, 141.484818
4294967296, 32, 512, 262144, 32.130355, 133.673196
4294967296, 32, 512, 262144, 32.047051, 134.020672
4294967296, 32, 1024, 131072, 35.866277, 119.749459
4294967296, 32, 1024, 131072, 35.826188, 119.883459
4294967296, 64, 32, 2097152, 76.001383, 56.511699
4294967296, 64, 32, 2097152, 75.909672, 56.579974
4294967296, 64, 64, 1048576, 42.469691, 101.130174
4294967296, 64, 64, 1048576, 42.482859, 101.098828
4294967296, 64, 128, 524288, 27.762621, 154.703235
4294967296, 64, 128, 524288, 27.694385, 155.084409
4294967296, 64, 256, 262144, 27.307760, 157.280104
4294967296, 64, 256, 262144, 27.219172, 157.791990
4294967296, 64, 512, 131072, 29.980936, 143.256613
4294967296, 64, 512, 131072, 29.926135, 143.518945
4294967296, 64, 1024, 65536, 36.203746, 118.633229
4294967296, 64, 1024, 65536, 36.133070, 118.865274
4294967296, 128, 32, 1048576, 43.680523, 98.326828
4294967296, 128, 32, 1048576, 43.614047, 98.476697
4294967296, 128, 64, 524288, 27.582713, 155.712287
4294967296, 128, 64, 524288, 27.527088, 156.026940
4294967296, 128, 128, 262144, 25.005459, 171.761186
4294967296, 128, 128, 262144, 24.920633, 172.345836
4294967296, 128, 256, 131072, 30.426201, 141.160156
4294967296, 128, 256, 131072, 30.297352, 141.760486
4294967296, 128, 512, 65536, 31.452521, 136.553990
4294967296, 128, 512, 65536, 31.357756, 136.966667
4294967296, 128, 1024, 32768, 42.673043, 100.648255
4294967296, 128, 1024, 32768, 42.601312, 100.817722
4294967296, 256, 32, 524288, 28.249891, 152.034829
4294967296, 256, 32, 524288, 28.194441, 152.333832
4294967296, 256, 64, 262144, 32.422807, 132.467474
4294967296, 256, 64, 262144, 32.319854, 132.889442
4294967296, 256, 128, 131072, 26.676766, 161.000301
4294967296, 256, 128, 131072, 27.549969, 155.897356
4294967296, 256, 256, 65536, 29.452615, 145.826347
4294967296, 256, 256, 65536, 29.361172, 146.280513
4294967296, 256, 512, 32768, 36.535172, 117.557057
4294967296, 256, 512, 32768, 36.446145, 117.844215
4294967296, 256, 1024, 16384, 62.732344, 68.464958
4294967296, 256, 1024, 16384, 62.554340, 68.659781
4294967296, 512, 32, 262144, 32.476418, 132.248800
4294967296, 512, 32, 262144, 32.160484, 133.547967
4294967296, 512, 64, 131072, 28.775961, 149.255391
4294967296, 512, 64, 131072, 28.712031, 149.587720
4294967296, 512, 128, 65536, 27.928252, 153.785754
4294967296, 512, 128, 65536, 27.854791, 154.191331
4294967296, 512, 256, 32768, 31.667275, 135.627939
4294967296, 512, 256, 32768, 31.142732, 137.912346
4294967296, 512, 512, 16384, 49.133449, 87.414325
4294967296, 512, 512, 16384, 48.825844, 87.965040
4294967296, 512, 1024, 8192, 99.393000, 43.211970
4294967296, 512, 1024, 8192, 99.799789, 43.035835
4294967296, 1024, 32, 131072, 30.639230, 140.178693
4294967296, 1024, 32, 131072, 30.626119, 140.238705
4294967296, 1024, 64, 65536, 27.139205, 158.256931
4294967296, 1024, 64, 65536, 27.270223, 157.496598
4294967296, 1024, 128, 32768, 28.235766, 152.110885
4294967296, 1024, 128, 32768, 28.550027, 150.436539
4294967296, 1024, 256, 16384, 36.736719, 116.912110
4294967296, 1024, 256, 16384, 36.610855, 117.314038
4294967296, 1024, 512, 8192, 64.346754, 66.747226
4294967296, 1024, 512, 8192, 64.158215, 66.943373
4294967296, 1024, 1024, 4096, 156.180375, 27.500045
4294967296, 1024, 1024, 4096, 156.004156, 27.531108
4294967296, 2048, 32, 65536, 29.448961, 145.844443
4294967296, 2048, 32, 65536, 29.613238, 145.035381
4294967296, 2048, 64, 32768, 27.774631, 154.636341
4294967296, 2048, 64, 32768, 27.687887, 155.120806
4294967296, 2048, 128, 16384, 30.994838, 138.570407
4294967296, 2048, 128, 16384, 30.910303, 138.949377
4294967296, 2048, 256, 8192, 44.513930, 96.485916
4294967296, 2048, 256, 8192, 43.714777, 98.249781
4294967296, 2048, 512, 4096, 89.485539, 47.996216
4294967296, 2048, 512, 4096, 89.567820, 47.952125
4294967296, 2048, 1024, 2048, 236.569875, 18.155174
4294967296, 2048, 1024, 2048, 236.446953, 18.164613
