photons,blocks,threads,photones_per_thread,time,pus
524288, 16384, 512, 0, 0.006640, 78.963603
1048576, 16384, 512, 0, 0.006638, 157.975933
2097152, 16384, 512, 0, 0.006628, 316.423251
4194304, 16384, 512, 0, 0.006653, 630.472126
8388608, 16384, 512, 1, 0.014915, 562.439384
16777216, 16384, 512, 2, 0.021482, 781.007496
33554432, 16384, 512, 4, 0.034333, 977.330529
67108864, 16384, 512, 8, 0.059350, 1130.727916
134217728, 16384, 512, 16, 0.108753, 1234.151718
268435456, 16384, 512, 32, 0.205485, 1306.347797
536870912, 16384, 512, 64, 0.398125, 1348.497643
1073741824, 16384, 512, 128, 0.781285, 1374.327905
2147483648, 16384, 512, 256, 1.550019, 1385.455973
4294967296, 16384, 512, 512, 3.084637, 1392.373783
8589934592, 16384, 512, 1024, 6.150838, 1396.546952
17179869184, 16384, 512, 2048, 12.292909, 1397.543001
34359738368, 16384, 512, 4096, 24.579764, 1397.887255
68719476736, 16384, 512, 8192, 48.968461, 1403.341568
137438953472, 16384, 512, 16384, 97.012711, 1416.710781
274877906944, 16384, 512, 32768, 191.566328, 1434.896778
