photons,blocks,threads,photones_per_thread,time,pus
4294967296, 32, 32, 4194304, 103.817414, 41.370394
4294967296, 32, 64, 2097152, 52.141016, 82.372145
4294967296, 32, 128, 1048576, 26.091287, 164.613086
4294967296, 32, 256, 524288, 14.522136, 295.753143
4294967296, 32, 512, 262144, 8.900512, 482.552850
4294967296, 32, 1024, 131072, 6.536938, 657.030399
4294967296, 64, 32, 2097152, 52.048969, 82.517817
4294967296, 64, 64, 1048576, 26.135455, 164.334896
4294967296, 64, 128, 524288, 13.112060, 327.558556
4294967296, 64, 256, 262144, 7.360795, 583.492280
4294967296, 64, 512, 131072, 4.538233, 946.396402
4294967296, 64, 1024, 65536, 3.341635, 1285.288985
4294967296, 128, 32, 1048576, 25.774143, 166.638610
4294967296, 128, 64, 524288, 12.976198, 330.988107
4294967296, 128, 128, 262144, 7.079613, 606.666978
4294967296, 128, 256, 131072, 4.391662, 977.982183
4294967296, 128, 512, 65536, 3.353554, 1280.720909
4294967296, 128, 1024, 32768, 3.429358, 1252.411503
4294967296, 256, 32, 524288, 25.782129, 166.586992
4294967296, 256, 64, 262144, 12.983236, 330.808682
4294967296, 256, 128, 131072, 7.036531, 610.381371
4294967296, 256, 256, 65536, 4.374655, 981.784170
4294967296, 256, 512, 32768, 3.306509, 1298.943161
4294967296, 256, 1024, 16384, 3.487015, 1231.703170
4294967296, 512, 32, 262144, 25.642945, 167.491185
4294967296, 512, 64, 131072, 12.900837, 332.921602
4294967296, 512, 128, 65536, 7.052026, 609.040164
4294967296, 512, 256, 32768, 4.404040, 975.233589
4294967296, 512, 512, 16384, 3.302092, 1300.680576
4294967296, 512, 1024, 8192, 3.602146, 1192.335869
4294967296, 1024, 32, 131072, 25.643443, 167.487932
4294967296, 1024, 64, 65536, 12.903135, 332.862314
4294967296, 1024, 128, 32768, 7.060032, 608.349573
4294967296, 1024, 256, 16384, 4.412237, 973.421753
4294967296, 1024, 512, 8192, 3.291782, 1304.754289
4294967296, 1024, 1024, 4096, 3.688857, 1164.308295
4294967296, 2048, 32, 65536, 25.641207, 167.502540
4294967296, 2048, 64, 32768, 12.902760, 332.871988
4294967296, 2048, 128, 16384, 6.994252, 614.071001
4294967296, 2048, 256, 8192, 4.289943, 1001.171096
4294967296, 2048, 512, 4096, 3.176229, 1352.222280
4294967296, 2048, 1024, 2048, 3.628729, 1183.600925
4294967296, 4096, 32, 32768, 24.840279, 172.903342
4294967296, 4096, 64, 16384, 12.501619, 343.552883
4294967296, 4096, 128, 8192, 6.795338, 632.046171
4294967296, 4096, 256, 4096, 4.190390, 1024.956426
4294967296, 4096, 512, 2048, 3.112200, 1380.042101
4294967296, 4096, 1024, 1024, 3.610984, 1189.417303
4294967296, 8192, 32, 16384, 24.433555, 175.781516
4294967296, 8192, 64, 8192, 12.295646, 349.307996
4294967296, 8192, 128, 4096, 6.697204, 641.307511
4294967296, 8192, 256, 2048, 4.141884, 1036.959753
4294967296, 8192, 512, 1024, 3.082410, 1393.379667
4294967296, 8192, 1024, 512, 3.628927, 1183.536427
4294967296, 16384, 32, 8192, 24.215539, 177.364100
4294967296, 16384, 64, 4096, 12.184459, 352.495527
4294967296, 16384, 128, 2048, 6.666414, 644.269506
4294967296, 16384, 256, 1024, 4.132188, 1039.393006
4294967296, 16384, 512, 512, 3.081727, 1393.688307
4294967296, 16384, 1024, 256, 3.691334, 1163.527223
4294967296, 32768, 32, 4096, 24.169047, 177.705282
4294967296, 32768, 64, 2048, 12.158145, 353.258450
4294967296, 32768, 128, 1024, 6.637801, 647.046683
4294967296, 32768, 256, 512, 4.128812, 1040.242880
4294967296, 32768, 512, 256, 3.090331, 1389.808153
4294967296, 32768, 1024, 128, 3.769677, 1139.346087
