photons,blocks,threads,photones_per_thread,time,pus
524288, 512, 64, 16, 0.007320, 71.624672
524288, 512, 64, 16, 0.003922, 133.667281
1048576, 512, 64, 32, 0.006557, 159.921916
1048576, 512, 64, 32, 0.006298, 166.501524
2097152, 512, 64, 64, 0.011474, 182.766875
2097152, 512, 64, 64, 0.011769, 178.192027
4194304, 512, 64, 128, 0.021477, 195.294635
4194304, 512, 64, 128, 0.021572, 194.437111
8388608, 512, 64, 256, 0.040780, 205.704460
8388608, 512, 64, 256, 0.040753, 205.842404
16777216, 512, 64, 512, 0.077642, 216.084247
16777216, 512, 64, 512, 0.077615, 216.160777
33554432, 512, 64, 1024, 0.134441, 249.584485
33554432, 512, 64, 1024, 0.123038, 272.715765
67108864, 512, 64, 2048, 0.219068, 306.338231
67108864, 512, 64, 2048, 0.219062, 306.345891
134217728, 512, 64, 4096, 0.408466, 328.589495
134217728, 512, 64, 4096, 0.408567, 328.508771
268435456, 512, 64, 8192, 0.752698, 356.630964
268435456, 512, 64, 8192, 0.754503, 355.777740
536870912, 512, 64, 16384, 1.395288, 384.774239
536870912, 512, 64, 16384, 1.398769, 383.816729
1073741824, 512, 64, 32768, 2.619144, 409.959096
1073741824, 512, 64, 32768, 2.626060, 408.879348
2147483648, 512, 64, 65536, 4.987226, 430.596854
2147483648, 512, 64, 65536, 4.999258, 429.560492
4294967296, 512, 64, 131072, 9.707904, 442.419616
4294967296, 512, 64, 131072, 9.705067, 442.548941
8589934592, 512, 64, 262144, 19.329068, 444.404998
8589934592, 512, 64, 262144, 19.781266, 434.245955
17179869184, 512, 64, 524288, 39.466555, 435.301975
17179869184, 512, 64, 524288, 40.284301, 426.465617
34359738368, 512, 64, 1048576, 80.011000, 429.437682
34359738368, 512, 64, 1048576, 81.282742, 422.718740
68719476736, 512, 64, 2097152, 161.788750, 424.748178
68719476736, 512, 64, 2097152, 161.845344, 424.599653
137438953472, 512, 64, 4194304, 316.596969, 434.113296
