photons,blocks,threads,photones_per_thread,time,pus
524288, 8192, 512, 0, 0.006026, 87.004080
1048576, 8192, 512, 0, 0.004281, 244.943104
2097152, 8192, 512, 0, 0.004279, 490.109708
4194304, 8192, 512, 1, 0.011719, 357.898243
8388608, 8192, 512, 2, 0.018155, 462.062090
16777216, 8192, 512, 4, 0.029806, 562.884425
33554432, 8192, 512, 8, 0.053199, 630.733025
67108864, 8192, 512, 16, 0.100574, 667.258694
134217728, 8192, 512, 32, 0.172410, 778.478554
268435456, 8192, 512, 64, 0.312861, 858.001730
536870912, 8192, 512, 128, 0.615721, 871.939115
1073741824, 8192, 512, 256, 1.232359, 871.290051
2147483648, 8192, 512, 512, 2.465809, 870.904266
4294967296, 8192, 512, 1024, 4.956938, 866.455725
8589934592, 8192, 512, 2048, 9.954020, 862.961396
17179869184, 8192, 512, 4096, 20.529945, 836.820017
34359738368, 8192, 512, 8192, 43.179672, 795.738756
68719476736, 8192, 512, 16384, 89.014656, 772.001821
137438953472, 8192, 512, 32768, 178.634516, 769.386325
