photons,blocks,threads,photones_per_thread,time,pus
4294967296, 32, 32, 4194304, 145.957391, 29.426172
4294967296, 32, 32, 4194304, 146.424750, 29.332249
4294967296, 32, 64, 2097152, 74.214281, 57.872518
4294967296, 32, 64, 2097152, 74.147523, 57.924622
4294967296, 32, 128, 1048576, 39.746785, 108.058231
4294967296, 32, 128, 1048576, 39.714973, 108.144788
4294967296, 32, 256, 524288, 22.880029, 187.716862
4294967296, 32, 256, 524288, 22.818258, 188.225032
4294967296, 32, 512, 262144, 17.677131, 242.967444
4294967296, 32, 512, 262144, 17.665379, 243.129079
4294967296, 32, 1024, 131072, 20.719320, 207.292866
4294967296, 32, 1024, 131072, 20.604201, 208.451046
4294967296, 64, 32, 2097152, 76.990031, 55.786018
4294967296, 64, 32, 2097152, 76.944578, 55.818973
4294967296, 64, 64, 1048576, 40.455066, 106.166364
4294967296, 64, 64, 1048576, 40.548238, 105.922414
4294967296, 64, 128, 524288, 22.017059, 195.074527
4294967296, 64, 128, 524288, 21.967570, 195.513989
4294967296, 64, 256, 262144, 14.254184, 301.312753
4294967296, 64, 256, 262144, 14.435976, 297.518326
4294967296, 64, 512, 131072, 14.959788, 287.100811
4294967296, 64, 512, 131072, 14.889263, 288.460711
4294967296, 64, 1024, 65536, 18.094719, 237.360268
4294967296, 64, 1024, 65536, 18.089781, 237.425054
4294967296, 128, 32, 1048576, 41.905711, 102.491217
4294967296, 128, 32, 1048576, 41.625543, 103.181052
4294967296, 128, 64, 524288, 22.239570, 193.122764
4294967296, 128, 64, 524288, 22.183262, 193.612975
4294967296, 128, 128, 262144, 13.702718, 313.439083
4294967296, 128, 128, 262144, 13.895779, 309.084306
4294967296, 128, 256, 131072, 12.056800, 356.227802
4294967296, 128, 256, 131072, 12.213162, 351.667100
4294967296, 128, 512, 65536, 14.951229, 287.265158
4294967296, 128, 512, 65536, 14.946021, 287.365275
4294967296, 128, 1024, 32768, 19.385160, 221.559547
4294967296, 128, 1024, 32768, 19.562729, 219.548479
4294967296, 256, 32, 524288, 22.896316, 187.583331
4294967296, 256, 32, 524288, 22.974275, 186.946801
4294967296, 256, 64, 262144, 13.859993, 309.882353
4294967296, 256, 64, 262144, 13.991764, 306.963968
4294967296, 256, 128, 131072, 10.886555, 394.520344
4294967296, 256, 128, 131072, 11.015117, 389.915715
4294967296, 256, 256, 65536, 13.507006, 317.980709
4294967296, 256, 256, 65536, 13.485521, 318.487298
4294967296, 256, 512, 32768, 15.358810, 279.641939
4294967296, 256, 512, 32768, 15.426573, 278.413568
4294967296, 256, 1024, 16384, 24.504344, 175.273712
4294967296, 256, 1024, 16384, 24.629723, 174.381472
4294967296, 512, 32, 262144, 14.207459, 302.303691
4294967296, 512, 32, 262144, 14.236159, 301.694245
4294967296, 512, 64, 131072, 10.674245, 402.367310
4294967296, 512, 64, 131072, 10.849968, 395.850696
4294967296, 512, 128, 65536, 13.023453, 329.787135
4294967296, 512, 128, 65536, 13.031555, 329.582110
4294967296, 512, 256, 32768, 13.539459, 317.218531
4294967296, 512, 256, 32768, 13.442854, 319.498162
4294967296, 512, 512, 16384, 19.286016, 222.698528
4294967296, 512, 512, 16384, 19.278576, 222.784466
4294967296, 512, 1024, 8192, 38.098965, 112.731863
4294967296, 512, 1024, 8192, 38.194621, 112.449533
4294967296, 1024, 32, 131072, 16.879734, 254.445194
4294967296, 1024, 32, 131072, 16.388955, 262.064743
4294967296, 1024, 64, 65536, 12.823256, 334.935787
4294967296, 1024, 64, 65536, 13.040806, 329.348309
4294967296, 1024, 128, 32768, 12.649434, 339.538309
4294967296, 1024, 128, 32768, 12.548713, 342.263572
4294967296, 1024, 256, 16384, 14.776000, 290.671853
4294967296, 1024, 256, 16384, 14.740025, 291.381268
4294967296, 1024, 512, 8192, 26.487977, 162.147806
4294967296, 1024, 512, 8192, 26.522375, 161.937507
4294967296, 1024, 1024, 4096, 56.390906, 76.164183
4294967296, 1024, 1024, 4096, 56.625172, 75.849082
4294967296, 2048, 32, 65536, 13.634698, 315.002739
4294967296, 2048, 32, 65536, 13.668875, 314.215127
4294967296, 2048, 64, 32768, 10.965652, 391.674582
4294967296, 2048, 64, 32768, 11.157202, 384.950209
4294967296, 2048, 128, 16384, 12.544438, 342.380195
4294967296, 2048, 128, 16384, 12.863278, 333.893677
4294967296, 2048, 256, 8192, 18.155283, 236.568455
4294967296, 2048, 256, 8192, 18.327738, 234.342461
4294967296, 2048, 512, 4096, 35.399535, 121.328353
4294967296, 2048, 512, 4096, 35.925156, 119.553197
4294967296, 2048, 1024, 2048, 84.668445, 50.726895
4294967296, 2048, 1024, 2048, 84.695586, 50.710639
4294967296, 4096, 32, 32768, 12.801863, 335.495482
4294967296, 4096, 32, 32768, 12.973160, 331.065619
4294967296, 4096, 64, 16384, 12.003996, 357.794793
4294967296, 4096, 64, 16384, 12.128442, 354.123568
4294967296, 4096, 128, 8192, 14.151823, 303.492152
4294967296, 4096, 128, 8192, 14.317790, 299.974178
4294967296, 4096, 256, 4096, 23.463711, 183.047230
4294967296, 4096, 256, 4096, 23.507172, 182.708806
4294967296, 4096, 512, 2048, 50.152648, 85.637896
4294967296, 4096, 512, 2048, 50.417699, 85.187689
4294967296, 4096, 1024, 1024, 117.677961, 36.497635
4294967296, 4096, 1024, 1024, 117.624383, 36.514260
