photons,blocks,threads,photones_per_thread,time,pus
4294967296, 32, 32, 4194304, 76.986078, 55.788883
4294967296, 32, 64, 2097152, 38.793750, 110.712867
4294967296, 32, 128, 1048576, 20.394102, 210.598505
4294967296, 32, 256, 524288, 11.715340, 366.610560
4294967296, 32, 512, 262144, 8.629594, 497.702142
4294967296, 32, 1024, 131072, 9.346762, 459.513939
4294967296, 64, 32, 2097152, 39.091516, 109.869552
4294967296, 64, 64, 1048576, 20.343221, 211.125237
4294967296, 64, 128, 524288, 10.811835, 397.246842
4294967296, 64, 256, 262144, 6.844581, 627.498931
4294967296, 64, 512, 131072, 6.842219, 627.715578
4294967296, 64, 1024, 65536, 7.164757, 599.457510
4294967296, 128, 32, 1048576, 39.270184, 109.369677
4294967296, 128, 64, 524288, 20.123021, 213.435507
4294967296, 128, 128, 262144, 10.833479, 396.453171
4294967296, 128, 256, 131072, 6.970390, 616.173157
4294967296, 128, 512, 65536, 5.719081, 750.989058
4294967296, 128, 1024, 32768, 6.193124, 693.505833
4294967296, 256, 32, 524288, 29.315145, 146.510187
4294967296, 256, 64, 262144, 15.291512, 280.872642
4294967296, 256, 128, 131072, 8.158261, 526.456211
4294967296, 256, 256, 65536, 5.454341, 787.440142
4294967296, 256, 512, 32768, 5.364132, 800.682578
4294967296, 256, 1024, 16384, 5.977604, 718.509899
4294967296, 512, 32, 262144, 29.320846, 146.481699
4294967296, 512, 64, 131072, 15.272021, 281.231111
4294967296, 512, 128, 65536, 8.249914, 520.607519
4294967296, 512, 256, 32768, 5.494558, 781.676563
4294967296, 512, 512, 16384, 5.426481, 791.482905
4294967296, 512, 1024, 8192, 5.923769, 725.039687
4294967296, 1024, 32, 131072, 29.530918, 145.439681
4294967296, 1024, 64, 65536, 15.141312, 283.658850
4294967296, 1024, 128, 32768, 8.180824, 525.004258
4294967296, 1024, 256, 16384, 5.539288, 775.364561
4294967296, 1024, 512, 8192, 5.350409, 802.736230
4294967296, 1024, 1024, 4096, 5.968758, 719.574731
4294967296, 2048, 32, 65536, 28.303029, 151.749385
4294967296, 2048, 64, 32768, 14.674029, 292.691749
4294967296, 2048, 128, 16384, 7.920767, 542.241365
4294967296, 2048, 256, 8192, 5.370264, 799.768421
4294967296, 2048, 512, 4096, 5.283889, 812.842125
4294967296, 2048, 1024, 2048, 5.954061, 721.350961
4294967296, 4096, 32, 32768, 28.311797, 151.702392
4294967296, 4096, 64, 16384, 14.507499, 296.051531
4294967296, 4096, 128, 8192, 7.860567, 546.394056
4294967296, 4096, 256, 4096, 5.353184, 802.320193
4294967296, 4096, 512, 2048, 5.237428, 820.052803
4294967296, 4096, 1024, 1024, 5.917939, 725.753902
4294967296, 8192, 32, 16384, 28.102932, 152.829867
4294967296, 8192, 64, 8192, 14.364501, 298.998712
4294967296, 8192, 128, 4096, 7.931407, 541.513905
4294967296, 8192, 256, 2048, 5.341730, 804.040436
4294967296, 8192, 512, 1024, 5.222071, 822.464317
4294967296, 8192, 1024, 512, 5.915580, 726.043362
4294967296, 16384, 32, 8192, 28.166576, 152.484536
4294967296, 16384, 64, 4096, 14.475130, 296.713558
4294967296, 16384, 128, 2048, 7.818730, 549.317767
4294967296, 16384, 256, 1024, 5.326863, 806.284574
4294967296, 16384, 512, 512, 5.226785, 821.722563
4294967296, 16384, 1024, 256, 5.998352, 716.024545
4294967296, 32768, 32, 4096, 27.870041, 154.106960
4294967296, 32768, 64, 2048, 14.304965, 300.243121
4294967296, 32768, 128, 1024, 7.874849, 545.403156
4294967296, 32768, 256, 512, 5.370204, 799.777365
4294967296, 32768, 512, 256, 5.254070, 817.455238
4294967296, 32768, 1024, 128, 6.054247, 709.413945
