compilador_flag,photons,time,pus,ins,ius
gcc_O0,65536, 0.332315, 0.197210, 2048168316, 6163.332305
gcc_O0,65536, 0.327715, 0.199979, 2048159051, 6249.818469
gcc_O0,65536, 0.330163, 0.198496, 2047389302, 6201.146698
gcc_O0,65536, 0.331595, 0.197638, 2047390050, 6174.362076
gcc_O0,65536, 0.326712, 0.200593, 2047393675, 6266.660924
gcc_O0,65536, 0.327446, 0.200143, 2047603533, 6253.255462
gcc_O0,65536, 0.328880, 0.199270, 2047636709, 6226.095496
gcc_O0,65536, 0.326775, 0.200554, 2047580347, 6266.015763
gcc_O0,65536, 0.326713, 0.200592, 2048091711, 6268.776171
gcc_O0,65536, 0.329009, 0.199192, 2048095374, 6225.035917
gcc_O0,65536, 0.330367, 0.198374, 2048101820, 6199.483815
gcc_O0,65536, 0.326800, 0.200539, 2046797833, 6263.152488
gcc_O0,65536, 0.327192, 0.200298, 2046818269, 6255.701673
gcc_O0,65536, 0.326383, 0.200795, 2046789622, 6271.121319
gcc_O0,65536, 0.326483, 0.200734, 2046839040, 6269.366856
gcc_O0,65536, 0.327669, 0.200007, 2046827780, 6246.638333
gcc_O0,65536, 0.327076, 0.200369, 2046798583, 6257.860692
gcc_O0,65536, 0.330359, 0.198378, 2047007054, 6196.314446
gcc_O0,65536, 0.327251, 0.200262, 2047006181, 6255.150349
gcc_O0,65536, 0.332018, 0.197387, 2047022031, 6165.400351
gcc_O0,65536, 0.326601, 0.200661, 2046747427, 6266.812032
gcc_O0,65536, 0.334044, 0.196190, 2046825918, 6127.417222
gcc_O0,65536, 0.377375, 0.173663, 2046932187, 5424.128543
gcc_O0,65536, 0.328436, 0.199540, 2046920816, 6232.331488
gcc_O0,65536, 0.326361, 0.200808, 2046942215, 6272.016225
gcc_O0,65536, 0.326643, 0.200635, 2046894550, 6266.454920
gcc_O0,65536, 0.329380, 0.198968, 2046856787, 6214.264137
gcc_O0,65536, 0.326580, 0.200674, 2046862335, 6267.570119
gcc_O0,65536, 0.327526, 0.200094, 2046874681, 6249.499526
gcc_O0,65536, 0.326476, 0.200738, 2047330558, 6271.006605
gcc_O0,65536, 0.327447, 0.200142, 2047375143, 6252.540412
gcc_O0,65536, 0.326946, 0.200449, 2047345002, 6262.035726
gcc_O0,65536, 0.328744, 0.199353, 2046901516, 6226.426115
gcc_O0,65536, 0.329938, 0.198632, 2046883089, 6203.849906
gcc_O0,65536, 0.328107, 0.199740, 2046904230, 6238.534404
gcc_O0,65536, 0.334626, 0.195848, 2046136554, 6114.688479
gcc_O0,65536, 0.326381, 0.200796, 2046072399, 6268.977229
gcc_O0,65536, 0.332786, 0.196931, 2046166028, 6148.586885
gcc_O0,65536, 0.332849, 0.196894, 2046947353, 6149.776780
gcc_O0,65536, 0.327203, 0.200291, 2046907697, 6255.766211
gcc_O0,65536, 0.326660, 0.200625, 2046914843, 6266.202244
gcc_O0,65536, 0.327398, 0.200172, 2047395437, 6253.536275
gcc_O0,65536, 0.326635, 0.200640, 2047440407, 6268.289909
gcc_O0,65536, 0.327361, 0.200195, 2047412848, 6254.290360
gcc_O0,65536, 0.327285, 0.200242, 2047175196, 6255.030124
gcc_O0,65536, 0.326488, 0.200730, 2047160276, 6270.244021
gcc_O0,65536, 0.326582, 0.200673, 2047185857, 6268.529660
gcc_O0,65536, 0.328503, 0.199499, 2046406765, 6229.486420
gcc_O0,65536, 0.331806, 0.197513, 2046434742, 6167.560683
gcc_O0,65536, 0.326356, 0.200811, 2046391509, 6270.422763
gcc_O0,65536, 0.326565, 0.200683, 2047098737, 6268.584786
gcc_O0,65536, 0.326640, 0.200637, 2047117872, 6267.193868
gcc_O0,65536, 0.333577, 0.196465, 2047173381, 6137.038031
gcc_O0,65536, 0.332491, 0.197106, 2048037953, 6159.671998
gcc_O0,65536, 0.332586, 0.197050, 2048017967, 6157.855586
gcc_O0,65536, 0.326690, 0.200606, 2047996669, 6268.938677
gcc_O0,65536, 0.330966, 0.198014, 2047611978, 6186.775755
gcc_O0,65536, 0.329484, 0.198905, 2047545786, 6214.404692
gcc_O0,65536, 0.326686, 0.200609, 2047548193, 6267.636688
gcc_O0,65536, 0.326980, 0.200428, 2046591941, 6259.078825
gcc_O0,65536, 0.330675, 0.198189, 2046629372, 6189.255263
gcc_O0,65536, 0.326596, 0.200664, 2046553551, 6266.314531
gcc_O0,65536, 0.326828, 0.200521, 2048404789, 6267.530625
gcc_O0,65536, 0.330597, 0.198236, 2048399257, 6196.069150
gcc_O0,65536, 0.326887, 0.200485, 2048417856, 6266.440330
gcc_O0,65536, 0.330324, 0.198399, 2046040837, 6194.043308
gcc_O0,65536, 0.327220, 0.200281, 2046013048, 6252.717052
gcc_O0,65536, 0.329267, 0.199036, 2046006285, 6213.812643
gcc_O0,65536, 0.330258, 0.198439, 2047564097, 6199.888405
gcc_O0,65536, 0.326753, 0.200567, 2047515707, 6266.246542
gcc_O0,65536, 0.331139, 0.197911, 2047583710, 6183.452380
gcc_O0,65536, 0.326910, 0.200471, 2047732313, 6263.901270
gcc_O0,65536, 0.326823, 0.200524, 2047677862, 6265.403062
gcc_O0,65536, 0.332523, 0.197087, 2047726216, 6158.156000
gcc_O0,65536, 0.326457, 0.200749, 2047652692, 6272.342593
