compilador_flag,photons,time,pus,ins,ius
gcc_O0,65536, 0.352155, 0.186100, 2140547729, 6078.421713
gcc_O0,65536, 0.354934, 0.184643, 2140568246, 6030.889244
gcc_O0,65536, 0.355045, 0.184585, 2140640985, 6029.203683
gcc_O0,65536, 0.354664, 0.184784, 2139513897, 6032.515000
gcc_O0,65536, 0.352657, 0.185835, 2139490560, 6066.773085
gcc_O0,65536, 0.352281, 0.186034, 2139470720, 6073.201597
gcc_O0,65536, 0.355627, 0.184283, 2140711392, 6019.536719
gcc_O0,65536, 0.354954, 0.184632, 2140653838, 6030.795613
gcc_O0,65536, 0.354133, 0.185061, 2139830252, 6042.454149
gcc_O0,65536, 0.353065, 0.185620, 2139910245, 6060.960042
gcc_O0,65536, 0.353951, 0.185155, 2139812045, 6045.498135
gcc_O0,65536, 0.365501, 0.179305, 2139624300, 5853.947315
gcc_O0,65536, 0.354784, 0.184721, 2139526626, 6030.500463
gcc_O0,65536, 0.358018, 0.183052, 2139513843, 5975.996417
gcc_O0,65536, 0.360528, 0.181778, 2140552682, 5937.271064
gcc_O0,65536, 0.352609, 0.185860, 2140481745, 6070.414783
gcc_O0,65536, 0.354756, 0.184735, 2140533543, 6033.815620
gcc_O0,65536, 0.354760, 0.184733, 2139530944, 6030.926590
gcc_O0,65536, 0.353985, 0.185138, 2139492652, 6044.013348
gcc_O0,65536, 0.354977, 0.184620, 2139522918, 6027.216686
gcc_O0,65536, 0.353815, 0.185227, 2139473259, 6046.874473
gcc_O0,65536, 0.354738, 0.184745, 2139546818, 6031.336045
gcc_O0,65536, 0.354601, 0.184816, 2138888010, 6031.811324
gcc_O0,65536, 0.352032, 0.186165, 2138885190, 6075.830641
gcc_O0,65536, 0.352838, 0.185740, 2138917794, 6062.035319
gcc_O0,65536, 0.355493, 0.184353, 2139190250, 6017.537517
gcc_O0,65536, 0.355122, 0.184545, 2139124396, 6023.633838
gcc_O0,65536, 0.356834, 0.183660, 2139175950, 5994.874543
gcc_O0,65536, 0.358354, 0.182880, 2139294957, 5969.774078
gcc_O0,65536, 0.354728, 0.184750, 2139312133, 6030.856688
gcc_O0,65536, 0.356914, 0.183618, 2139295046, 5993.859089
gcc_O0,65536, 0.354504, 0.184867, 2139160908, 6034.234793
gcc_O0,65536, 0.353834, 0.185217, 2139173522, 6045.703034
gcc_O0,65536, 0.354661, 0.184785, 2139164942, 6031.571299
gcc_O0,65536, 0.357011, 0.183569, 2139011121, 5991.444606
gcc_O0,65536, 0.357925, 0.183100, 2139041142, 5976.227577
gcc_O0,65536, 0.354869, 0.184676, 2139858656, 6029.992617
gcc_O0,65536, 0.352010, 0.186177, 2139808868, 6078.829755
gcc_O0,65536, 0.354975, 0.184621, 2139811763, 6028.061446
gcc_O0,65536, 0.354395, 0.184924, 2139003377, 6035.645277
gcc_O0,65536, 0.365896, 0.179111, 2139095505, 5846.183554
gcc_O0,65536, 0.354948, 0.184636, 2139017910, 6026.293589
gcc_O0,65536, 0.353453, 0.185417, 2140228977, 6055.202987
gcc_O0,65536, 0.352781, 0.185769, 2140185900, 6066.606472
gcc_O0,65536, 0.353910, 0.185177, 2140242632, 6047.414452
gcc_O0,65536, 0.354071, 0.185093, 2139261027, 6041.896200
gcc_O0,65536, 0.355805, 0.184191, 2139256708, 6012.446390
gcc_O0,65536, 0.358305, 0.182906, 2139717869, 5971.783785
gcc_O0,65536, 0.353512, 0.185386, 2139692040, 6052.678749
gcc_O0,65536, 0.360092, 0.181998, 2139729843, 5942.180436
gcc_O0,65536, 0.354244, 0.185002, 2138224662, 6036.019291
gcc_O0,65536, 0.352326, 0.186009, 2138185519, 6068.764417
gcc_O0,65536, 0.359929, 0.182080, 2138210463, 5940.649625
gcc_O0,65536, 0.354123, 0.185066, 2137898862, 6037.172113
gcc_O0,65536, 0.353394, 0.185447, 2137903484, 6049.632383
gcc_O0,65536, 0.352242, 0.186054, 2137961667, 6069.583501
gcc_O0,65536, 0.354516, 0.184861, 2139876106, 6036.055117
gcc_O0,65536, 0.362548, 0.180765, 2139978493, 5902.612472
gcc_O0,65536, 0.355329, 0.184437, 2140009370, 6022.606023
gcc_O0,65536, 0.353273, 0.185511, 2139166364, 6055.274023
gcc_O0,65536, 0.354989, 0.184614, 2139332225, 6026.473726
gcc_O0,65536, 0.353601, 0.185339, 2138504665, 6047.784306
gcc_O0,65536, 0.357007, 0.183570, 2138541154, 5990.189270
gcc_O0,65536, 0.352784, 0.185768, 2138509257, 6061.803640
gcc_O0,65536, 0.356874, 0.183639, 2139893689, 5996.215306
gcc_O0,65536, 0.352464, 0.185937, 2139753795, 6070.850319
gcc_O0,65536, 0.353075, 0.185615, 2139757198, 6060.349092
gcc_O0,65536, 0.363250, 0.180416, 2138789900, 5887.933514
gcc_O0,65536, 0.353970, 0.185146, 2138695666, 6042.033291
gcc_O0,65536, 0.354612, 0.184811, 2138717058, 6031.151457
gcc_O0,65536, 0.354999, 0.184609, 2141609654, 6032.722793
gcc_O0,65536, 0.354908, 0.184656, 2141567339, 6034.149941
gcc_O0,65536, 0.355052, 0.184581, 2141627880, 6031.862844
gcc_O0,65536, 0.353453, 0.185416, 2137344821, 6047.033530
gcc_O0,65536, 0.365911, 0.179104, 2137520971, 5841.640240
gcc_O0,65536, 0.352476, 0.185930, 2139437263, 6069.739224
gcc_O0,65536, 0.354695, 0.184767, 2139427177, 6031.739819
gcc_O0,65536, 0.354988, 0.184614, 2139491217, 6026.932301
gcc_O0,65536, 0.353484, 0.185400, 2137078291, 6045.761385
gcc_O0,65536, 0.353597, 0.185341, 2137084890, 6043.841951
gcc_O0,65536, 0.353847, 0.185210, 2137060062, 6039.500547
gcc_O0,65536, 0.358045, 0.183038, 2139020182, 5974.161963
gcc_O0,65536, 0.358783, 0.182662, 2138995581, 5961.806191
gcc_O0,65536, 0.353780, 0.185245, 2138991020, 6046.102161
gcc_O0,65536, 0.354280, 0.184984, 2138878910, 6037.257174
gcc_O0,65536, 0.353307, 0.185493, 2138809675, 6053.694170
gcc_O0,65536, 0.352440, 0.185949, 2138853667, 6068.706168
gcc_O0,65536, 0.357450, 0.183343, 2140190200, 5987.383444
gcc_O0,65536, 0.359326, 0.182386, 2140219523, 5956.199338
gcc_O0,65536, 0.355505, 0.184346, 2138814443, 6016.270518
gcc_O0,65536, 0.353738, 0.185267, 2138752513, 6046.145830
gcc_O0,65536, 0.357187, 0.183478, 2138810256, 5987.934275
gcc_O0,65536, 0.358404, 0.182855, 2141519217, 5975.152009
gcc_O0,65536, 0.356223, 0.183975, 2141486640, 6011.649209
gcc_O0,65536, 0.358689, 0.182710, 2141515388, 5970.403388
gcc_O0,65536, 0.357285, 0.183428, 2138718004, 5986.031792
gcc_O0,65536, 0.353773, 0.185249, 2138432176, 6044.643885
gcc_O0,65536, 0.354281, 0.184983, 2138545616, 6036.290204
gcc_O0,65536, 0.354521, 0.184858, 2140210990, 6036.902474
gcc_O0,65536, 0.355546, 0.184325, 2140184933, 6019.439549
gcc_O0,65536, 0.353891, 0.185187, 2140200975, 6047.635433
gcc_O0,65536, 0.353723, 0.185275, 2138643347, 6046.090902
gcc_O0,65536, 0.355441, 0.184380, 2138708726, 6017.064598
gcc_O0,65536, 0.355089, 0.184562, 2139234399, 6024.494440
gcc_O0,65536, 0.361014, 0.181533, 2139243915, 5925.649186
gcc_O0,65536, 0.354778, 0.184724, 2139253002, 6029.828375
gcc_O0,65536, 0.354180, 0.185036, 2140017642, 6042.175164
gcc_O0,65536, 0.352901, 0.185706, 2140041664, 6064.139140
gcc_O0,65536, 0.358039, 0.183042, 2140032318, 5977.096759
gcc_O0,65536, 0.354307, 0.184970, 2139279603, 6037.929047
gcc_O0,65536, 0.362015, 0.181031, 2139304817, 5909.430125
gcc_O0,65536, 0.353780, 0.185245, 2139282599, 6046.927265
gcc_O0,65536, 0.354034, 0.185112, 2138080623, 6039.192580
gcc_O0,65536, 0.352422, 0.185959, 2138138989, 6066.989187
gcc_O0,65536, 0.352290, 0.186028, 2138860257, 6071.303190
gcc_O0,65536, 0.354356, 0.184944, 2138837134, 6035.850819
