photons,time,pus,ins,ius
64, 0.000831, 0.076977, 1928582, 2319.624068
64, 0.000493, 0.129702, 1929448, 3910.197172
64, 0.000367, 0.174477, 1936197, 5278.473715
64, 0.000380, 0.168594, 1937321, 5103.452586
64, 0.000366, 0.174830, 1936197, 5289.143070
64, 0.000394, 0.162531, 1939690, 4925.944499
64, 0.000365, 0.175376, 1936204, 5305.687428
64, 0.000487, 0.131387, 1930240, 3962.637760
64, 0.000383, 0.166967, 1929448, 5033.648742
64, 0.000376, 0.170000, 1936351, 5143.441455
64, 0.000400, 0.160080, 1929448, 4826.018753
64, 0.000382, 0.167346, 1929448, 5045.088498
64, 0.000365, 0.175165, 1929901, 5282.046274
64, 0.000466, 0.137233, 1929448, 4137.250086
64, 0.000381, 0.167803, 1930412, 5061.386001
64, 0.000385, 0.166255, 1943273, 5048.116901
64, 0.000365, 0.175525, 1930240, 5293.840079
64, 0.000374, 0.171306, 1937553, 5186.172227
64, 0.000367, 0.174501, 1930153, 5262.714723
64, 0.000376, 0.170258, 1938198, 5156.141117
64, 0.000359, 0.178451, 1929405, 5379.768232
64, 0.000382, 0.167689, 1938591, 5079.367128
64, 0.000366, 0.175055, 1930146, 5279.392925
64, 0.000374, 0.171173, 1937963, 5183.244775
64, 0.000383, 0.167145, 1929754, 5039.838009
64, 0.000376, 0.170389, 1944720, 5177.496865
64, 0.000383, 0.167058, 1929519, 5036.593490
64, 0.000374, 0.171155, 1936427, 5178.581943
64, 0.000365, 0.175251, 1929405, 5283.291250
64, 0.000359, 0.178507, 1929405, 5381.431204
64, 0.000380, 0.168585, 1929901, 5083.634936
64, 0.000380, 0.168505, 1929887, 5081.176668
64, 0.000489, 0.130823, 1930090, 3945.312403
64, 0.000370, 0.172763, 1930146, 5210.276070
64, 0.000394, 0.162408, 1939437, 4921.556763
64, 0.000362, 0.176810, 1930521, 5333.374002
64, 0.000360, 0.177748, 1929705, 5359.380844
64, 0.000464, 0.137895, 1930318, 4159.082506
64, 0.000365, 0.175107, 1927447, 5273.582297
64, 0.000386, 0.165833, 1936197, 5016.951288
64, 0.000438, 0.146095, 1986880, 4535.529220
64, 0.000366, 0.174973, 1929448, 5275.031388
64, 0.000364, 0.175747, 1930318, 5300.742417
64, 0.000380, 0.168572, 1929419, 5081.963210
64, 0.000392, 0.163340, 1938404, 4947.180080
64, 0.000383, 0.167119, 1936211, 5055.908236
64, 0.000393, 0.162775, 1940993, 4936.650206
64, 0.000366, 0.175079, 1929785, 5279.128334
64, 0.000458, 0.139735, 1988267, 4341.088442
64, 0.000380, 0.168381, 1929419, 5076.204093
64, 0.000375, 0.170617, 1940604, 5173.427047
64, 0.000384, 0.166840, 1930177, 5031.742339
64, 0.000373, 0.171499, 1939245, 5196.540205
64, 0.000383, 0.166975, 1930146, 5035.732781
64, 0.000423, 0.151161, 1929405, 4557.040119
64, 0.000450, 0.142146, 1930419, 4287.524614
64, 0.000363, 0.176104, 1929691, 5309.796030
64, 0.000382, 0.167390, 1929448, 5046.406498
64, 0.000632, 0.101190, 1988045, 3143.298571
64, 0.000383, 0.167267, 1930083, 5044.371914
64, 0.000368, 0.174050, 1934870, 5261.943637
64, 0.000382, 0.167438, 1930318, 5050.148892
64, 0.000377, 0.169635, 1936469, 5132.711282
64, 0.000383, 0.166954, 1936197, 5050.860128
64, 0.000451, 0.141863, 1995769, 4423.834136
64, 0.000384, 0.166680, 1929754, 5025.795488
64, 0.000374, 0.171013, 1939972, 5183.763013
64, 0.000382, 0.167596, 1929448, 5052.618651
64, 0.000393, 0.162878, 1938418, 4933.226862
64, 0.000383, 0.166910, 1929519, 5032.128376
64, 0.000368, 0.174131, 1936985, 5270.134798
64, 0.000382, 0.167390, 1936197, 5064.073700
