photons,time,pus,ins,ius
64, 0.000442, 0.144682, 1406176, 3178.874420
64, 0.000222, 0.288614, 1407132, 6345.585003
64, 0.000216, 0.295817, 1406026, 6498.850307
64, 0.000219, 0.292745, 1405972, 6431.120785
64, 0.000225, 0.284305, 1412721, 6275.692455
64, 0.000219, 0.292464, 1405847, 6424.377560
64, 0.000229, 0.279769, 1412721, 6175.551484
64, 0.000257, 0.248621, 1404362, 5455.520437
64, 0.000218, 0.293821, 1405972, 6454.740905
64, 0.000219, 0.291718, 1406646, 6411.615482
64, 0.000230, 0.277814, 1406553, 6105.623363
64, 0.000218, 0.293470, 1406379, 6448.916464
64, 0.000349, 0.183476, 1406082, 4030.968585
64, 0.000218, 0.293956, 1412721, 6488.707618
64, 0.000223, 0.286418, 1413351, 6325.136054
64, 0.000216, 0.296050, 1405847, 6503.131860
64, 0.000219, 0.292464, 1406943, 6429.386012
64, 0.000216, 0.295967, 1406474, 6504.224881
64, 0.000252, 0.253626, 1405972, 5571.736790
64, 0.000218, 0.293875, 1406309, 6457.475280
64, 0.000228, 0.280577, 1406849, 6167.647706
64, 0.000230, 0.278249, 1406842, 6116.434873
64, 0.000228, 0.280985, 1405972, 6172.775201
64, 0.000229, 0.279464, 1412721, 6168.820843
64, 0.000227, 0.282075, 1405979, 6196.737381
64, 0.000228, 0.280776, 1406568, 6170.787114
64, 0.000431, 0.148420, 1405972, 3260.528846
64, 0.000227, 0.282448, 1405847, 6204.356039
64, 0.000224, 0.285434, 1405929, 6270.307591
64, 0.000228, 0.280763, 1406411, 6169.821038
64, 0.000227, 0.281665, 1406842, 6191.544213
64, 0.000229, 0.278916, 1406505, 6129.637874
64, 0.000432, 0.148186, 1406646, 3256.953308
64, 0.000225, 0.283901, 1417306, 6287.099515
64, 0.000219, 0.292840, 1405929, 6432.993143
64, 0.000213, 0.300809, 1405972, 6608.262412
64, 0.000223, 0.286559, 1412721, 6325.427572
64, 0.000227, 0.282285, 1405972, 6201.326568
64, 0.000228, 0.280284, 1412721, 6186.923881
64, 0.000228, 0.280936, 1412721, 6201.315664
64, 0.000229, 0.279684, 1406740, 6147.541650
64, 0.000227, 0.282075, 1405847, 6196.168319
64, 0.000213, 0.299919, 1406082, 6589.238047
64, 0.000233, 0.275009, 1406278, 6042.794389
64, 0.000227, 0.281641, 1406019, 6187.376917
64, 0.000227, 0.281715, 1406019, 6189.000281
64, 0.000231, 0.276685, 1408879, 6090.862562
64, 0.000227, 0.281455, 1405972, 6183.090211
64, 0.000227, 0.282112, 1406019, 6197.740479
64, 0.000228, 0.281183, 1406474, 6179.312375
64, 0.000229, 0.278916, 1406278, 6128.648593
64, 0.000227, 0.282299, 1412721, 6231.401578
64, 0.000228, 0.280911, 1405972, 6171.147669
64, 0.000227, 0.281616, 1407038, 6191.315612
64, 0.000232, 0.275352, 1405972, 6049.008053
64, 0.000224, 0.286289, 1405929, 6289.102709
64, 0.000229, 0.279499, 1407038, 6144.779987
64, 0.000347, 0.184544, 1405972, 4054.125529
64, 0.000229, 0.279488, 1406215, 6140.936035
64, 0.000403, 0.158636, 1405972, 3484.958557
64, 0.000235, 0.272063, 1412986, 6006.572646
64, 0.000229, 0.279659, 1407038, 6148.293419
64, 0.000227, 0.282013, 1405979, 6195.376858
64, 0.000228, 0.280554, 1406505, 6165.636127
64, 0.000273, 0.234089, 1412721, 5167.231422
64, 0.000330, 0.193710, 1464835, 4433.642434
64, 0.000227, 0.282324, 1405972, 6202.180056
64, 0.000224, 0.286123, 1405929, 6285.436739
64, 0.000226, 0.283036, 1405847, 6217.260778
64, 0.000228, 0.280639, 1406842, 6168.977143
64, 0.000236, 0.271520, 1412735, 5993.534574
64, 0.000229, 0.279452, 1412721, 6168.557442
64, 0.000236, 0.270968, 1412572, 5980.661558
64, 0.000229, 0.280000, 1406474, 6153.328830
64, 0.000228, 0.280173, 1406278, 6156.271551
64, 0.000227, 0.282112, 1405986, 6197.595015
64, 0.000228, 0.280934, 1406082, 6172.135094
64, 0.000217, 0.294985, 1407038, 6485.242247
64, 0.000327, 0.195671, 1406505, 4300.186202
64, 0.000227, 0.281578, 1412721, 6215.494398
64, 0.000224, 0.285970, 1405940, 6282.124813
