photons,time,pus,ins,ius
64, 0.000188, 0.340516, 678449, 3609.727302
64, 0.000167, 0.382112, 678548, 4051.275111
64, 0.000097, 0.662794, 678284, 7024.415150
64, 0.000137, 0.466575, 685033, 4994.049516
64, 0.000096, 0.663213, 678284, 7028.855576
64, 0.000113, 0.566621, 680026, 6020.575263
64, 0.000095, 0.674537, 678284, 7148.870440
64, 0.000088, 0.725953, 678241, 7693.302717
64, 0.000087, 0.733524, 678212, 7773.201293
64, 0.000097, 0.659996, 679444, 7006.727172
64, 0.000091, 0.705000, 678362, 7472.576430
64, 0.000173, 0.369068, 678355, 3911.857759
64, 0.000178, 0.360156, 685033, 3854.975409
64, 0.000096, 0.669800, 678284, 7098.666621
64, 0.000091, 0.703142, 678284, 7452.031058
64, 0.000091, 0.705622, 685040, 7552.802426
64, 0.000096, 0.666797, 678786, 7072.074421
64, 0.000091, 0.703992, 678401, 7462.326379
64, 0.000099, 0.648692, 679647, 6888.771087
64, 0.000094, 0.682374, 680143, 7251.746267
64, 0.000096, 0.664521, 679546, 7055.824871
64, 0.000091, 0.703686, 685033, 7531.998207
64, 0.000099, 0.648165, 678865, 6875.263445
64, 0.000091, 0.701756, 678919, 7444.306616
64, 0.000087, 0.734791, 679154, 7797.439704
64, 0.000096, 0.665557, 679154, 7062.750528
64, 0.000091, 0.699837, 678926, 7424.027472
64, 0.000132, 0.485031, 685033, 5191.600700
64, 0.000179, 0.356725, 679350, 3786.578634
64, 0.000131, 0.490047, 678284, 5193.605523
64, 0.000179, 0.358443, 678723, 3801.306992
64, 0.000095, 0.672122, 679546, 7136.532866
64, 0.000096, 0.664798, 678926, 7052.319763
64, 0.000090, 0.707496, 685033, 7572.786951
64, 0.000093, 0.690104, 679154, 7323.227953
64, 0.000113, 0.565520, 678355, 5994.117088
64, 0.000091, 0.705702, 679546, 7493.075521
64, 0.000091, 0.704302, 678241, 7463.854306
64, 0.000090, 0.708828, 678527, 7514.985545
64, 0.000120, 0.532802, 685033, 5702.921695
64, 0.000093, 0.686769, 678456, 7280.352011
64, 0.000097, 0.659996, 678527, 6997.270662
64, 0.000097, 0.662114, 678355, 7017.941718
64, 0.000091, 0.702215, 678723, 7447.024576
64, 0.000096, 0.667500, 678488, 7076.419665
64, 0.000090, 0.708123, 678723, 7509.681352
64, 0.000087, 0.733105, 678394, 7770.849563
64, 0.000096, 0.665903, 678786, 7062.583083
64, 0.000178, 0.360462, 678284, 3820.239397
64, 0.000095, 0.673826, 678534, 7143.967042
64, 0.000091, 0.704223, 685033, 7537.748590
64, 0.000093, 0.688765, 678817, 7305.398346
64, 0.000094, 0.678822, 678198, 7193.365413
