photons,time,pus,ins,ius
64, 0.000741, 0.086338, 1599556, 2157.850077
64, 0.000772, 0.082927, 1610584, 2086.900185
64, 0.001403, 0.045610, 1636296, 1166.118277
64, 0.000865, 0.073951, 1610105, 1860.448859
64, 0.000618, 0.103536, 1608391, 2601.980778
64, 0.000419, 0.152894, 1599902, 3822.121886
64, 0.000425, 0.150507, 1608249, 3782.086316
64, 0.000376, 0.170237, 1599902, 4255.658377
64, 0.000378, 0.169352, 1608559, 4256.460533
64, 0.000376, 0.170004, 1600254, 4250.782949
64, 0.000377, 0.169757, 1600105, 4244.209024
64, 0.000377, 0.169913, 1599901, 4247.554850
64, 0.000377, 0.169541, 1600264, 4239.222231
64, 0.000377, 0.169869, 1599517, 4245.453339
64, 0.000376, 0.170012, 1599623, 4249.298700
64, 0.000376, 0.170085, 1599469, 4250.707579
64, 0.000665, 0.096174, 1607251, 2415.240840
64, 0.000412, 0.155179, 1649142, 3998.637331
64, 0.000376, 0.170233, 1599624, 4254.817053
64, 0.000377, 0.169972, 1599558, 4248.132961
64, 0.000376, 0.170026, 1599459, 4249.212965
64, 0.000376, 0.170212, 1599523, 4254.039218
64, 0.000464, 0.137958, 1607903, 3465.980470
64, 0.000379, 0.168658, 1599967, 4216.364575
64, 0.000385, 0.166036, 1608293, 4172.420860
64, 0.000379, 0.168888, 1603589, 4231.663808
64, 0.000388, 0.165141, 1606559, 4145.445209
64, 0.000376, 0.169992, 1599566, 4248.639403
64, 0.000678, 0.094332, 1667047, 2457.122433
64, 0.000380, 0.168202, 1600354, 4205.968000
64, 0.000377, 0.169868, 1600099, 4246.953000
64, 0.000403, 0.158705, 1639038, 4064.419179
64, 0.000376, 0.170091, 1599458, 4250.836503
64, 0.000391, 0.163873, 1607653, 4116.424186
64, 0.000396, 0.161796, 1599458, 4043.517940
64, 0.000446, 0.143499, 1648749, 3696.788081
64, 0.000377, 0.169905, 1599458, 4246.198365
64, 0.000395, 0.162054, 1611080, 4079.406477
64, 0.000381, 0.167832, 1599902, 4195.539868
64, 0.000516, 0.124140, 1599658, 3102.836405
64, 0.000570, 0.112319, 1599523, 2807.145966
64, 0.000383, 0.166991, 1600066, 4174.938357
64, 0.000387, 0.165547, 1607273, 4157.478828
64, 0.000377, 0.169758, 1599558, 4242.780638
64, 0.000452, 0.141664, 1631145, 3610.541135
64, 0.000377, 0.169876, 1600002, 4246.909714
64, 0.000604, 0.105961, 1599807, 2648.709012
64, 0.000474, 0.135119, 1608634, 3396.214544
64, 0.000377, 0.169716, 1599672, 4242.036595
64, 0.000376, 0.170091, 1599456, 4250.831187
64, 0.000377, 0.169966, 1600070, 4249.323457
64, 0.000376, 0.170022, 1599964, 4250.452949
64, 0.000560, 0.114242, 1609007, 2872.118968
64, 0.000390, 0.163919, 1607644, 4117.550334
64, 0.000376, 0.170110, 1599472, 4251.336955
64, 0.000385, 0.166050, 1605219, 4164.802491
64, 0.000375, 0.170553, 1599722, 4263.094638
64, 0.000402, 0.159171, 1607118, 3996.980723
64, 0.000646, 0.099074, 1608106, 2489.385976
64, 0.000380, 0.168486, 1599967, 4212.068880
64, 0.000385, 0.166118, 1606652, 4170.208348
64, 0.000377, 0.169738, 1599894, 4243.165399
64, 0.000390, 0.164304, 1608341, 4129.022569
64, 0.000377, 0.169737, 1600326, 4244.299873
64, 0.000470, 0.136291, 1614933, 3439.078928
64, 0.000423, 0.151168, 1664854, 3932.385384
64, 0.000386, 0.165714, 1610451, 4169.905854
64, 0.000377, 0.169789, 1599458, 4243.292000
64, 0.000387, 0.165203, 1611860, 4160.680221
64, 0.000377, 0.169715, 1600125, 4243.204111
64, 0.000637, 0.100475, 1600099, 2512.024001
64, 0.000389, 0.164377, 1609089, 4132.778388
64, 0.000377, 0.169763, 1600074, 4244.273149
64, 0.000387, 0.165572, 1607670, 4159.151235
64, 0.000377, 0.169879, 1600419, 4248.084218
64, 0.000396, 0.161666, 1621750, 4096.600712
64, 0.000579, 0.110622, 1606852, 2777.397130
64, 0.000379, 0.168970, 1599901, 4223.993769
64, 0.000377, 0.169808, 1600112, 4245.500085
64, 0.000397, 0.161321, 1631986, 4113.645473
64, 0.000376, 0.170169, 1599622, 4253.216590
64, 0.000382, 0.167334, 1607072, 4201.846952
64, 0.000716, 0.089416, 1656102, 2313.776882
64, 0.000379, 0.168910, 1600092, 4223.004020
