photons,time,pus,ins,ius
64, 0.000356, 0.179901, 2130370, 5988.357058
64, 0.000355, 0.180468, 2130051, 6006.353047
64, 0.000356, 0.179679, 2130483, 5981.293744
64, 0.000355, 0.180066, 2130483, 5994.167562
64, 0.000354, 0.180567, 2130370, 6010.523643
64, 0.000385, 0.166164, 2140090, 5556.337334
64, 0.000360, 0.177988, 2128617, 5919.830133
64, 0.000662, 0.096613, 2128617, 3213.322062
64, 0.000379, 0.168807, 2158153, 5692.367546
64, 0.000366, 0.175024, 2136574, 5842.997943
64, 0.000385, 0.166325, 2149281, 5585.623772
64, 0.000378, 0.169287, 2157369, 5706.464898
64, 0.000395, 0.161913, 2173027, 5497.506799
64, 0.000503, 0.127234, 2145471, 4265.265104
64, 0.000365, 0.175543, 2138843, 5866.530073
64, 0.000367, 0.174510, 2137388, 5828.042602
64, 0.000355, 0.180305, 2130483, 6002.138305
64, 0.000360, 0.177668, 2128857, 5909.847261
64, 0.000355, 0.180033, 2128809, 5988.362575
64, 0.000354, 0.180747, 2128617, 6011.581932
64, 0.000367, 0.174423, 2129255, 5802.970634
64, 0.000658, 0.097322, 2128809, 3237.171046
64, 0.000364, 0.175843, 2136275, 5869.516239
64, 0.000389, 0.164482, 2153063, 5533.429624
64, 0.000372, 0.172031, 2144261, 5763.724138
64, 0.000367, 0.174403, 2138888, 5828.556791
64, 0.000564, 0.113416, 2145762, 3802.567106
64, 0.000355, 0.180206, 2128809, 5994.112347
64, 0.000591, 0.108336, 2139368, 3621.419406
64, 0.000632, 0.101291, 2137153, 3382.406100
64, 0.000375, 0.170456, 2162052, 5758.347005
64, 0.000375, 0.170555, 2137577, 5696.468450
64, 0.000372, 0.171890, 2138691, 5744.058378
64, 0.000392, 0.163100, 2172137, 5535.545543
64, 0.000380, 0.168239, 2167358, 5697.396507
64, 0.000381, 0.167929, 2164272, 5678.819668
64, 0.000359, 0.178122, 2128809, 5924.796482
64, 0.000354, 0.180698, 2130051, 6013.984296
64, 0.000354, 0.180595, 2130483, 6011.775329
64, 0.000379, 0.169071, 2164117, 5717.025194
64, 0.000405, 0.158158, 2174667, 5374.072985
64, 0.000365, 0.175485, 2135553, 5855.578770
64, 0.000362, 0.176711, 2136668, 5899.578378
64, 0.000369, 0.173567, 2136158, 5793.237925
64, 0.000403, 0.158805, 2192540, 5440.424407
64, 0.000358, 0.178883, 2128617, 5949.596814
64, 0.000354, 0.180709, 2128857, 6011.003501
64, 0.000354, 0.180759, 2130525, 6017.361317
64, 0.000354, 0.180860, 2129574, 6018.057785
64, 0.000358, 0.178758, 2128617, 5945.442357
64, 0.000364, 0.175744, 2136609, 5867.113165
64, 0.000373, 0.171353, 2137194, 5722.118250
64, 0.000444, 0.143985, 2135246, 4803.800302
64, 0.000363, 0.176324, 2130483, 5869.600434
64, 0.000354, 0.180693, 2128957, 6010.759731
64, 0.000382, 0.167649, 2167119, 5676.801572
64, 0.000365, 0.175430, 2136508, 5856.382789
64, 0.000386, 0.165650, 2141600, 5543.074263
64, 0.000363, 0.176161, 2136207, 5879.959703
64, 0.000406, 0.157761, 2167323, 5342.484292
64, 0.000679, 0.094206, 2139253, 3148.919352
64, 0.000354, 0.180613, 2129893, 6010.738032
64, 0.000355, 0.180361, 2130051, 6002.781504
64, 0.000354, 0.180762, 2128936, 6012.975312
64, 0.000354, 0.180657, 2130370, 6013.526674
64, 0.000355, 0.180442, 2128809, 6001.987685
64, 0.000354, 0.180575, 2128809, 6006.407598
64, 0.000367, 0.174395, 2128857, 5800.968982
64, 0.000403, 0.158976, 2169189, 5388.272028
64, 0.000411, 0.155655, 2195762, 5340.316708
64, 0.000370, 0.172775, 2137770, 5771.158918
64, 0.000364, 0.175596, 2135748, 5859.825007
64, 0.000368, 0.173848, 2135109, 5799.751724
64, 0.000365, 0.175521, 2136841, 5860.315553
64, 0.000363, 0.176185, 2135814, 5879.670974
