photons,time,pus,ins,ius
64, 0.000151, 0.424369, 768927, 5098.579688
64, 0.000138, 0.462903, 766246, 5542.145844
64, 0.000136, 0.469040, 765995, 5613.782439
64, 0.000138, 0.462732, 766131, 5539.270764
64, 0.000138, 0.464377, 766385, 5560.808016
64, 0.000137, 0.466802, 769328, 5611.314122
64, 0.000269, 0.237576, 766029, 2843.600471
64, 0.000137, 0.467860, 766523, 5603.525034
64, 0.000137, 0.467617, 766441, 5600.018998
64, 0.000256, 0.250357, 772576, 3022.183973
64, 0.000177, 0.361455, 775456, 4379.573257
64, 0.000138, 0.465252, 766790, 5574.222157
64, 0.000137, 0.466898, 766522, 5591.989787
64, 0.000136, 0.469318, 766438, 5620.365482
64, 0.000156, 0.409734, 780897, 4999.372595
64, 0.000137, 0.468442, 766422, 5609.758240
64, 0.000145, 0.439935, 766813, 5271.061893
64, 0.000138, 0.462424, 766531, 5538.478769
64, 0.000136, 0.470267, 766571, 5632.699698
64, 0.000136, 0.469177, 766621, 5620.017741
64, 0.000173, 0.369140, 802133, 4626.551541
64, 0.000139, 0.461880, 766473, 5531.544990
64, 0.000137, 0.468676, 766706, 5614.631468
64, 0.000250, 0.255509, 766245, 3059.106515
64, 0.000137, 0.466598, 766347, 5587.126266
64, 0.000138, 0.464394, 766044, 5558.535417
64, 0.000137, 0.466778, 766507, 5590.452921
64, 0.000136, 0.469687, 766679, 5626.547582
64, 0.000145, 0.441839, 774548, 5347.278890
64, 0.000179, 0.357368, 766353, 4279.221831
64, 0.000153, 0.418323, 780061, 5098.704507
64, 0.000136, 0.469649, 766044, 5621.433604
64, 0.000136, 0.471233, 766029, 5640.280089
64, 0.000136, 0.471302, 766065, 5641.375907
64, 0.000137, 0.465485, 766523, 5575.077642
64, 0.000136, 0.469081, 765981, 5614.173574
64, 0.000143, 0.446068, 766523, 5342.517215
64, 0.000137, 0.466330, 766747, 5586.824733
64, 0.000137, 0.468199, 766424, 5606.859116
64, 0.000179, 0.357386, 801818, 4477.479087
64, 0.000137, 0.466268, 766072, 5581.174413
64, 0.000136, 0.469222, 766408, 5618.991760
64, 0.000166, 0.386056, 777534, 4690.183919
64, 0.000257, 0.249129, 766196, 2982.525935
64, 0.000149, 0.429519, 766473, 5143.976000
64, 0.000137, 0.466591, 766841, 5590.646301
64, 0.000139, 0.460886, 767040, 5523.717621
64, 0.000137, 0.468631, 766181, 5610.252768
64, 0.000136, 0.470838, 766064, 5635.807192
64, 0.000247, 0.258876, 766483, 3100.370921
64, 0.000137, 0.466160, 766588, 5583.631967
64, 0.000145, 0.442291, 771580, 5332.236819
64, 0.000136, 0.470737, 766246, 5635.943718
64, 0.000137, 0.468042, 766550, 5605.894397
64, 0.000137, 0.466316, 766437, 5584.403188
64, 0.000140, 0.456413, 766046, 5463.016318
64, 0.000240, 0.266800, 766132, 3193.813573
64, 0.000137, 0.466510, 766614, 5588.013616
64, 0.000137, 0.468851, 766435, 5614.743891
64, 0.000136, 0.470529, 766790, 5637.457082
64, 0.000137, 0.468110, 766510, 5606.421884
64, 0.000136, 0.469194, 766524, 5619.512625
64, 0.000278, 0.230535, 804286, 2897.127317
64, 0.000139, 0.460766, 766641, 5519.413386
64, 0.000137, 0.466343, 766424, 5584.633993
64, 0.000136, 0.469353, 766620, 5622.112381
64, 0.000136, 0.469463, 766355, 5621.488197
64, 0.000136, 0.471987, 765981, 5648.952411
64, 0.000136, 0.471747, 766244, 5648.017926
64, 0.000145, 0.442750, 766431, 5302.149414
64, 0.000151, 0.423934, 767156, 5081.613863
64, 0.000137, 0.466421, 766524, 5586.298874
64, 0.000146, 0.438236, 774090, 5300.534100
64, 0.000136, 0.472063, 766689, 5655.091279
64, 0.000136, 0.470405, 765964, 5629.894232
64, 0.000149, 0.428142, 766160, 5125.398876
64, 0.000195, 0.327788, 779199, 3990.816807
64, 0.000140, 0.456318, 766558, 5465.537279
64, 0.000145, 0.442160, 773987, 5347.282099
64, 0.000136, 0.470343, 766423, 5632.522727
64, 0.000136, 0.470260, 766424, 5631.536793
64, 0.000138, 0.465025, 766538, 5569.677461
64, 0.000153, 0.418555, 766417, 5012.308135
64, 0.000173, 0.370638, 766002, 4436.090922
64, 0.000138, 0.465279, 766296, 5570.954984
64, 0.000145, 0.441879, 772583, 5334.191775
64, 0.000136, 0.472150, 766243, 5652.843970
64, 0.000137, 0.468583, 766595, 5612.708850
64, 0.000138, 0.464964, 766145, 5566.093937
64, 0.000247, 0.259059, 766045, 3100.794178
64, 0.000152, 0.420922, 776099, 5104.336159
64, 0.000136, 0.469511, 766489, 5623.048593
64, 0.000136, 0.471709, 766424, 5648.886694
64, 0.000137, 0.466799, 766775, 5592.652293
64, 0.000135, 0.472454, 766090, 5655.345001
64, 0.000135, 0.474496, 766046, 5679.463227
64, 0.000142, 0.450866, 766079, 5396.860844
64, 0.000153, 0.417823, 766232, 5002.330668
64, 0.000135, 0.473047, 766045, 5662.118513
64, 0.000135, 0.473275, 766081, 5665.106339
64, 0.000135, 0.474869, 765981, 5683.447846
64, 0.000135, 0.472778, 765981, 5658.425057
64, 0.000137, 0.466962, 766334, 5591.393299
64, 0.000147, 0.435194, 766081, 5209.273703
64, 0.000139, 0.461754, 818626, 5906.307269
64, 0.000150, 0.427562, 765981, 5117.252114
64, 0.000137, 0.468319, 766800, 5611.046473
64, 0.000158, 0.404035, 798061, 5038.200275
64, 0.000137, 0.465583, 766429, 5575.569976
64, 0.000219, 0.292069, 765981, 3495.618959
64, 0.000153, 0.418925, 766332, 5016.180975
64, 0.000150, 0.427913, 766776, 5126.776007
64, 0.000137, 0.467645, 766081, 5597.715847
64, 0.000143, 0.447546, 766434, 5359.603363
64, 0.000137, 0.468394, 766081, 5606.687793
64, 0.000151, 0.423224, 772940, 5111.360930
64, 0.000209, 0.306934, 766216, 3674.650143
64, 0.000139, 0.460193, 766580, 5512.108835
64, 0.000162, 0.396236, 780361, 4831.358346
64, 0.000145, 0.441233, 766738, 5286.098395
64, 0.000137, 0.468336, 766709, 5610.585860
64, 0.000161, 0.397965, 802672, 4991.182579
64, 0.000136, 0.472175, 766386, 5654.190921
64, 0.000145, 0.441215, 766145, 5281.791609
64, 0.000137, 0.466847, 766044, 5587.891166
64, 0.000136, 0.469801, 766891, 5629.466776
64, 0.000136, 0.469680, 766591, 5625.819188
64, 0.000194, 0.330196, 797817, 4116.193041
64, 0.000136, 0.469918, 766847, 5630.549070
64, 0.000140, 0.457911, 766988, 5487.697206
64, 0.000148, 0.433358, 766672, 5191.300344
64, 0.000137, 0.466082, 767167, 5586.913302
64, 0.000137, 0.466119, 766910, 5585.489134
64, 0.000153, 0.418944, 778174, 5093.928583
64, 0.000149, 0.430362, 766756, 5155.979343
64, 0.000136, 0.469811, 766588, 5627.366489
64, 0.000207, 0.308758, 776731, 3747.218765
64, 0.000138, 0.463607, 766329, 5551.177851
64, 0.000136, 0.471163, 766196, 5640.679065
64, 0.000153, 0.418246, 783716, 5121.657300
64, 0.000136, 0.469518, 766231, 5621.238354
