blocks,threads,photons,runs
32,32,4294967296,1
32,64,4294967296,1
32,128,4294967296,1
32,256,4294967296,1
32,512,4294967296,1
32,1024,4294967296,1
64,32,4294967296,1
64,64,4294967296,1
64,128,4294967296,1
64,256,4294967296,1
64,512,4294967296,1
64,1024,4294967296,1
128,32,4294967296,1
128,64,4294967296,1
128,128,4294967296,1
128,256,4294967296,1
128,512,4294967296,1
128,1024,4294967296,1
256,32,4294967296,1
256,64,4294967296,1
256,128,4294967296,1
256,256,4294967296,1
256,512,4294967296,1
256,1024,4294967296,1
512,32,4294967296,1
512,64,4294967296,1
512,128,4294967296,1
512,256,4294967296,1
512,512,4294967296,1
512,1024,4294967296,1
1024,32,4294967296,1
1024,64,4294967296,1
1024,128,4294967296,1
1024,256,4294967296,1
1024,512,4294967296,1
1024,1024,4294967296,1
2048,32,4294967296,1
2048,64,4294967296,1
2048,128,4294967296,1
2048,256,4294967296,1
2048,512,4294967296,1
2048,1024,4294967296,1
4096,32,4294967296,1
4096,64,4294967296,1
4096,128,4294967296,1
4096,256,4294967296,1
4096,512,4294967296,1
4096,1024,4294967296,1
8192,32,4294967296,1
8192,64,4294967296,1
8192,128,4294967296,1
8192,256,4294967296,1
8192,512,4294967296,1
8192,1024,4294967296,1
16384,32,4294967296,1
16384,64,4294967296,1
16384,128,4294967296,1
16384,256,4294967296,1
16384,512,4294967296,1
16384,1024,4294967296,1
32768,32,4294967296,1
32768,64,4294967296,1
32768,128,4294967296,1
32768,256,4294967296,1
32768,512,4294967296,1
32768,1024,4294967296,1
