blocks,threads,photons,runs
32,32,4294967296,2
32,64,4294967296,2
32,128,4294967296,2
32,256,4294967296,2
32,512,4294967296,2
32,1024,4294967296,2
64,32,4294967296,2
64,64,4294967296,2
64,128,4294967296,2
64,256,4294967296,2
64,512,4294967296,2
64,1024,4294967296,2
128,32,4294967296,2
128,64,4294967296,2
128,128,4294967296,2
128,256,4294967296,2
128,512,4294967296,2
128,1024,4294967296,2
256,32,4294967296,2
256,64,4294967296,2
256,128,4294967296,2
256,256,4294967296,2
256,512,4294967296,2
256,1024,4294967296,2
512,32,4294967296,2
512,64,4294967296,2
512,128,4294967296,2
512,256,4294967296,2
512,512,4294967296,2
512,1024,4294967296,2
1024,32,4294967296,2
1024,64,4294967296,2
1024,128,4294967296,2
1024,256,4294967296,2
1024,512,4294967296,2
1024,1024,4294967296,2
2048,32,4294967296,2
2048,64,4294967296,2
2048,128,4294967296,2
2048,256,4294967296,2
2048,512,4294967296,2
2048,1024,4294967296,2
